Region,Region County,Lat,Long,Year,Sow Month,ACCESS,ALCHEMY,Ambrosia,Amplify,ARRAN,ASAGAI,Atlanta,Bantam,Battalion,Belgrade,Beluga,Benedict,Bennington,BENTLEY,BISCAY,Britannia,Brompton,BRUNEL,BUCHAN,Butler,Buzzer,CARLTON,Cassius,CHARDONNAY,CHARGER,CHATSWORTH,Chilton,Chronicle,CLAIRE,Cocoon,Conqueror,CONSORT,Contender,CORDIALE,Coronation,Costello,Cougar,Crusoe,Cubanita,Dart,DEBEN,Defender,Delphi,Denman,Dickens,DICKSON,DIRECTOR,DOVER,Dunston,Duxford,Edmunds,EINSTEIN,Elation,Elicit,Energise,EQUINOX,Evolution,Exeter,FASTNET,Freiston,Fugue,Gallant,GATSBY,Gladiator,Glasgow,Gleam,Goldengun,GOODWOOD,Grafton,Graham,Gravitas,Gulliver,Hardwicke,Havana,Hereford,HEREWARD,HERITAGE,Horatio,Humber,HURLEY,HYPERION,Icebreaker,Icon,Invicta,ISTABRAQ,JB Diego,Jorvik,Ketchum,Kingdom,KIPLING,KWS Barrel,KWS Basset,KWS Bonham,KWS Cashel,KWS Crispin,KWS Croft,KWS Dali,KWS Evoke,KWS Gator,KWS Jackal,KWS Kerrin,KWS Kielder,KWS Lili,KWS Luther,KWS Podium,KWS Rowan,KWS Santiago,KWS Silverstone,KWS Siskin,KWS Sterling,KWS Target,KWS Tempo,KWS Trinity,KWS Zyatt,KWS Zyatt,KWSCleveland,KWSCroft,KWSCurlew,KWSGator,KWSGymnast,KWSHorizon,KWSKielder,KWSPodium,KWSQuartz,KWSRowan,KWSSantiago,KWSSaxtead,KWSSolo,KWSSterling,KWSTarget,KWSYaris,Lancaster,Lear,Leeds,LG Bletchley,LG Cassidy,LG Generation,LG Motown,LG Sundance,Limerick,MACRO,MADRIGAL,MALACCA,Marksman,Marlowe,Marston,Mascot,Monterey,Monty,Mosaic,Moulton,Musketeer,Myriad,NAPIER,NIJINSKY,Oakley,OPTION,Orbit,Panacea,Panorama,PENNANT,PHLEBAS,PIRANHA,QI,Qplus,QUEST,Reflection,Relay,Revelation,RGT Adventure,RGT Conversion,RGT Gravity,RGT Illustrious,RGT Knightsbridge,RGT Marlborough,RGT Paddington,RGT Universe,RGT Westminster,RIBAND,RICHMOND,ROBIGUS,Rocky,Ruskin,Sahara,SAVANNAH,Savello,SCORPION 25,Scout,SENATOR,Senator,Shabras,SHAMROCK,Sherlock,Shire,Shogun,Skyfall,SMUGGLER,SOISSONS,Solace,SOLSTICE,Spyder,STEADFAST,Stigg,Stratosphere,SW TATAROS,SYEpson,TANKER,TELLUS,Timber,Torch,Torphins,Trident,Tuxedo,Twister,VECTOR,Velocity,Verso,Viscount,Walpole,WARLOCK 24,Warrior,Weaver,WELFORD,WIZARD,Xi19,ZEBEDEE,Zulu
ANNAN,DUMF,54.9902,-3.2598,2002,1/10,315,,,,318,,,,,,,,,,315,,,317,,,,316,,315,,315,,,315,,,316,,,,,,,,,317,,,,,,,,,,,315,,,,316,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,,314,,,,,,,,,,,318,,,317,,,,,316,,,,,,,,,,,,,,,,,,316,318,,,,321,,315,,,,,318,,,,,,,,318,,,,,,,315,316,,,,,,,,,,,,316,,,,317,316,,
ASHF'D,KENT,51.1465,0.875,2002,1/10,313,,,,310,,,,,,,,,,311,,,310,,,,312,,311,309,310,,,310,,,312,,,,,,,,,312,,,,,,,,,,,311,,,,313,,,,,,,,,,,,311,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,310,,,,,,,,,,,313,,,312,,,,,312,,,,,,,,,,,,,,,,,,311,312,,,,313,,310,,,,,312,,,,,,305,,311,,,,,,,313,311,,,,,,,,,,,,310,,,,312,311,,
CIRENC,GLOS,51.7185,-1.9682,2002,1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLDSM,BORD,55.6513,-2.2534,2002,1/10,321,,,,321,,,,,,,,,,320,,,320,324,,,321,,320,,320,,,320,,,322,,,,,,,,,321,,,,,,,,,,,321,,,,322,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,322,319,,,,,,,,,,,321,,,321,,,,,322,,,,,,,,,,,,,,,,,321,321,321,,,,323,,320,,,,,320,,,,,,,,321,,,,,,,323,320,,,,,,,,,,,,319,,,,320,319,,
COUPAR,P KINR,56.5479,-3.2655,2002,1/10,326,,,,327,,,,,,,,,,326,,,327,327,,,327,,327,,326,,,327,,,327,,,,,,,,,326,,,,,,,,,,,327,,,,327,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,327,327,,,,,,,,,,,327,,,327,,,,,327,,,,,,,,,,,,,,,,,327,326,325,,,,326,,327,,,,,326,,,,,,,,326,,,,,,,326,327,,,,,,,,,,,,326,,,,327,327,,
CROFT,N YRKS,54.4835,-1.5551,2002,1/10,320,,,,320,,,,,,,,,,320,,,318,,,,322,,319,319,318,,,320,,,322,,,,,,,,,319,,,,,,,,,,,319,,,,320,,,,,,,,,,,,321,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,,318,,,,,,,,,,,322,,,320,,,,,320,,,,,,,,,,,,,,,,,,320,322,,,,320,,320,,,,,320,,,,,,318,,318,,,,,,,318,320,,,,,,,,,,,,320,,,,321,321,,
DUNMOW,ESSEX,51.8729,0.3578,2002,1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDINB,LOTH'N,55.9533,-3.1883,2002,1/10,329,,,,331,,,,,,,,,,328,,,328,330,,,328,,328,329,329,,,329,,,330,,,,,,,,,329,,,,,,,,,,,329,,,,330,,,,,,,,,,,,329,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,330,329,,,,,,,,,,,330,,,330,,,,,330,,,,,,,,,,,,,,,,,332,330,331,,,,330,,329,,,,,328,,,,,,328,,329,,,,,,,329,329,,,,,,,,,,,,329,,,,329,328,,
FAKEN,NORF,52.8313,0.8493,2002,1/10,290,,,,290,,,,,,,,,,289,,,287,290,,,289,,288,289,287,,,288,,,292,,,,,,,,,290,,,,,,,,,,,287,,,,288,,,,,,,,,,,,288,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,291,287,,,,,,,,,,,289,,,287,,,,,289,,,,,,,,,,,,,,,,,289,290,288,,,,290,,289,,,,,289,,,,,,292,,290,,,,,,,290,289,,,,,,,,,,,,289,,,,290,289,,
HORN,LINCS,53.2073,-0.1124,2002,1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K LYNN,NORF,52.7517,0.4023,2002,1/10,298,,,,296,,,,,,,,,,295,,,294,,,,294,,295,295,293,,,296,,,298,,,,,,,,,297,,,,,,,,,,,296,,,,295,,,,,,,,,,,,296,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,293,,,,,,,,,,,297,,,296,,,,,296,,,,,,,,,,,,,,,,,,296,300,,,,300,,297,,,,,298,,,,,,293,,297,,,,,,,297,294,,,,,,,,,,,,296,,,,297,296,,
