Cultivar,Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Access,OLD'M,ABER,57.33492,-2.3199,2002,1/10,342.0,8.82
Access,Ragnal,Nottinghamshire,53.2556,-0.7963,2004,1/10,,10.08
Access,Little Staughton,Bedfordshire,52.2504,-0.3821,2004,1/10,,9.37
Access,Limavady,Londonderry,55.0455,-6.9337,2003,1/10,314.0,9.84
Access,Limavady,LDERRY,55.0455,-6.9337,2002,1/10,315.0,10.36
Access,COLDSM,BORD,55.6513,-2.2534,2002,1/10,321.0,11.41
Access,Winchester,Hants.,51.0598,-1.3101,2003,1/10,304.0,11.72
Access,WINC'R,HANTS,51.0598,-1.3101,2002,1/10,311.0,9.77
Access,Girton,Cambridgeshire,52.241,0.0814,2004,1/10,,8.24
Access,Wye,Kent,51.1819,0.9379,2004,1/10,,11.61
Access,Hemingby,Lincolnshire,53.2535,-0.1494,2004,1/10,,9.84
Access,COUPAR,P KINR,56.5479,-3.2655,2002,1/10,326.0,8.4
Access,Wymondham,Norf.,52.5694,1.1153,2003,1/10,290.0,10.2
Access,WYMOND,NORF,52.5694,1.1153,2002,1/10,306.0,10.34
Access,Hull,ER Yorks.,53.7676,-0.3274,2003,1/10,,9.5
Access,Keysoe,Beds.,52.2517,-0.4249,2003,1/10,227.3,9.4
Access,ASHF'D,KENT,51.1465,0.875,2002,1/10,313.0,10.69
Access,Whitsome,Scottish Borders,55.7484,-2.217,2004,1/10,,12.34
Access,Malton,N Yorks.,54.1368,-0.7979,2003,1/10,,11.85
Access,ANNAN,DUMF,54.9902,-3.2598,2002,1/10,315.0,8.95
Access,SPALD,LINCS,52.7901,-0.1537,2002,1/10,285.0,13.26
Access,Spalding,Lincs.,52.7901,-0.1537,2003,1/10,277.3,12.9
Access,Bowsden,Northumberland,55.6729,-2.0135,2004,1/10,329.0,11.23
Access,Morley St Botolph,Norfolk,52.5547,1.0396,2004,1/10,,12.94
Access,WARM'R,WILTS,51.2046,-2.1811,2002,1/10,316.0,9.57
Access,LACEBY,LINCS,53.5419,-0.1692,2002,1/10,,11.19
Access,Aberdeen,Aber.,57.1497,-2.0943,2003,1/10,329.0,9.21
Access,Cirencester,Glos.,51.7185,-1.9682,2003,1/10,,10.62
Access,CIRENC,GLOS,51.7185,-1.9682,2002,1/10,,9.86
Access,Little Saxham,Suffolk,52.2421,0.6353,2004,1/10,,10.36
Access,DUNMOW,ESSEX,51.8729,0.3578,2002,1/10,,9.76
Access,Kettering,Northants.,52.3963,-0.7302,2003,1/10,288.0,
Access,Coniston,E Riding of Yorkshire,54.3432,-3.0716,2004,1/10,311.0,10.86
Access,Haddington,East Lothian,55.9587,-2.7749,2003,1/10,310.7,8.85
Access,Kingsbridge,Devon,50.2839,-3.7775,2004,1/10,,11.17
Access,King's Lynn,Norf.,52.7517,0.4023,2003,1/10,,11.39
Access,K LYNN,NORF,52.7517,0.4023,2002,1/10,298.0,7.31
Access,Framlingham,Suffolk,52.2221,1.3421,2004,1/10,,10.19
Access,Framlingham,Suffolk,52.2221,1.3421,2003,1/10,,11.2
Access,Spalding,Lincolnshire,52.7901,-0.1537,2004,1/10,,11.42
Access,KETT'G,NHANTS,52.3963,-0.7302,2002,1/10,307.0,12.93
Access,Eyton upon the Weald Moors,Shropshire,52.73,-2.5191,2004,1/10,308.0,12.81
Access,Sleaford,Lincs.,53.0003,-0.4096,2003,1/10,,7.9
Access,SLEAF,LINCS,53.0003,-0.4096,2002,1/10,294.0,11.14
Access,Fakenham,Norf.,52.8313,0.8493,2003,1/10,280.7,9.31
Access,Humbie,East Lothian,55.8551,-2.8648,2005,1/10,337.0,13.34
Access,FAKEN,NORF,52.8313,0.8493,2002,1/10,290.0,8.7
Access,Waterbeach,Cambs.,52.2656,0.191,2003,1/10,279.3,9.32
Access,Waterbeach,Cambridgeshire,52.2656,0.191,2002,1/10,,11.55
Access,Lockerbie,Dumfries and Galloway,55.1222,-3.349,2005,1/10,,9.43
Access,Lockerbie,Dumfries and Galloway,55.1222,-3.349,2004,1/10,327.0,10.46
Access,Lockerbie,Dumf/Gal.,55.1222,-3.349,2003,1/10,317.0,9.37
Access,Cambridge,Cambs.,52.2053,0.1218,2003,1/10,,10.55
Access,EDINB,LOTH'N,55.9533,-3.1883,2002,1/10,329.0,9.52
Access,Horncastle,LINCS,53.2073,-0.1124,2002,1/10,,9.33
Access,Coates,Gloucestershire,51.7058,-2.0325,2004,1/10,305.0,11.89
Access,Telford,Shrops.,52.6784,-2.4453,2003,1/10,,11.13
Access,T'FORD,SHROPS,52.6784,-2.4453,2002,1/10,314.0,14.18
Access,Canterbury,Kent,51.2802,1.0789,2003,1/10,309.7,11.75
Access,Quidenham,Norfolk,52.4453,0.984,2004,1/10,306.0,11.35
Access,Warwick,Warks.,52.2823,-1.5849,2003,1/10,,9.49
Access,OTLEY,SUFF,52.1513,1.2202,2002,1/10,302.0,7.92
Access,Horncastle,Lincs.,53.2073,-0.1124,2003,1/10,,7.84
Access,Bowsden,Northumberland,55.6729,-2.0135,2005,1/10,330.0,10.2
Access,Elgin,Moray,57.6495,-3.3185,2003,1/10,324.0,10.19
Access,Elgin,Moray,57.6495,-3.3185,2005,1/10,317.0,10.08
Access,Bramham,West Yorkshire,53.8785,-1.3504,2004,1/10,328.0,9.49
Access,Up Somborne,Hampshire,51.0884,-1.4321,2004,1/10,,10.36
Access,Wolferton,Norfolk,52.8279,0.456,2004,1/10,302.0,10.76
Access,Lawrencekirk,Aberdeenshire,56.8313,-2.4725,2005,1/10,,10.46
Access,Laurencekirk,Aberdeenshire,56.8313,-2.4725,2004,1/10,341.0,9.07
Access,Barnston,Essex,51.8533,0.3865,2004,1/10,324.0,9.57
Access,Frisby on the Wreake,Leicestershire,52.7525,-0.9713,2004,1/10,302.0,8.24
Access,Ormskirk,Lancs.,53.5689,-2.8851,2003,1/10,,10.19
Access,Elgin,Moray,57.6495,-3.3185,2004,1/10,,9.72
Access,Wimbourne St Giles,Dorset,50.9071,-1.9552,2003,1/10,,9.3
Access,WIM SG,DORSET,50.9071,-1.9552,2002,1/10,293.0,11.66
Access,Swindon,Wilts.,51.5558,-1.7797,2004,1/10,315.0,13.03
Access,Swindon,Wilts.,51.5558,-1.7797,2003,1/10,,10.23
Access,Tadcaster,N Yorks.,53.8836,-1.2609,2003,1/10,308.3,11.72
Access,TADC'R,N YRKS,53.8836,-1.2609,2002,1/10,305.0,11.56
Access,Worksop,Notts.,53.3093,-1.1227,2003,1/10,307.0,10.6
Access,Humbie,East Lothian,55.8551,-2.8648,2004,1/10,329.0,9.51
Access,WK'SOP,NOTTS,53.3093,-1.1227,2002,1/10,300.0,7.91
Access,Wimborne St Giles,Dorset,50.9071,-1.9552,2004,1/10,,9.31
Access,Rhynd,Perth and Kinross,56.3653,-3.3657,2004,1/10,,12.41
Access,Whitsome,Scottish Borders,55.7484,-2.217,2005,1/10,325.0,10.26
Access,Duns,Sc. Bord.,55.7778,-2.3435,2003,1/10,321.7,11.79
Access,CROFT,N YRKS,54.4835,-1.5551,2002,1/10,320.0,12.91
Access,Melton Mowbray,Leics,52.7664,-0.8871,2003,1/10,279.0,12.31
Access,Caythorpe,Lincolnshire,53.0216,-0.6046,2004,1/10,287.0,6.93
Access,K'STON,DEVON,50.3078,-3.927,2002,1/10,,9.65
Access,Croft on Tees,N Yorks.,54.4835,-1.5551,2003,1/10,316.3,12.81
Access,Duggleby,North Yorkshire,54.0928,-0.6573,2004,1/10,,8.34
Access,Rhynd,Perth & Kinross,56.3653,-3.3657,2005,1/10,334.0,10.74
Access,Morpeth,Northumb.,55.1687,-1.6875,2003,1/10,,9.53
