Region,Region County,Lat,Long,Year,Sow Month,ACCESS,ALCHEMY,Ambrosia,Amplify,ARRAN,ASAGAI,Atlanta,Bantam,Battalion,Belgrade,Beluga,Benedict,Bennington,BENTLEY,BISCAY,Britannia,Brompton,BRUNEL,BUCHAN,Butler,Buzzer,CARLTON,Cassius,CHARDONNAY,CHARGER,CHATSWORTH,Chilton,Chronicle,CLAIRE,Cocoon,Conqueror,CONSORT,Contender,CORDIALE,Coronation,Costello,Cougar,Crusoe,Cubanita,Dart,DEBEN,Defender,Delphi,Denman,Dickens,DICKSON,DIRECTOR,DOVER,Dunston,Duxford,Edmunds,EINSTEIN,Elation,Elicit,Energise,EQUINOX,Evolution,Exeter,FASTNET,Freiston,Fugue,Gallant,GATSBY,Gladiator,Glasgow,Gleam,Goldengun,GOODWOOD,Grafton,Graham,Gravitas,Gulliver,Hardwicke,Havana,Hereford,HEREWARD,HERITAGE,Horatio,Humber,HURLEY,HYPERION,Icebreaker,Icon,Invicta,ISTABRAQ,JB Diego,Jorvik,Ketchum,Kingdom,KIPLING,KWS Barrel,KWS Basset,KWS Bonham,KWS Cashel,KWS Crispin,KWS Croft,KWS Dali,KWS Evoke,KWS Gator,KWS Jackal,KWS Kerrin,KWS Kielder,KWS Lili,KWS Luther,KWS Podium,KWS Rowan,KWS Santiago,KWS Silverstone,KWS Siskin,KWS Sterling,KWS Target,KWS Tempo,KWS Trinity,KWS Zyatt,KWS Zyatt.1,KWSCleveland,KWSCroft,KWSCurlew,KWSGator,KWSGymnast,KWSHorizon,KWSKielder,KWSPodium,KWSQuartz,KWSRowan,KWSSantiago,KWSSaxtead,KWSSolo,KWSSterling,KWSTarget,KWSYaris,Lancaster,Lear,Leeds,LG Bletchley,LG Cassidy,LG Generation,LG Motown,LG Sundance,Limerick,MACRO,MADRIGAL,MALACCA,Marksman,Marlowe,Marston,Mascot,Monterey,Monty,Mosaic,Moulton,Musketeer,Myriad,NAPIER,NIJINSKY,Oakley,OPTION,Orbit,Panacea,Panorama,PENNANT,PHLEBAS,PIRANHA,QI,Qplus,QUEST,Reflection,Relay,Revelation,RGT Adventure,RGT Conversion,RGT Gravity,RGT Illustrious,RGT Knightsbridge,RGT Marlborough,RGT Paddington,RGT Universe,RGT Westminster,RIBAND,RICHMOND,ROBIGUS,Rocky,Ruskin,Sahara,SAVANNAH,Savello,SCORPION 25,Scout,SENATOR,Senator,Shabras,SHAMROCK,Sherlock,Shire,Shogun,Skyfall,SMUGGLER,SOISSONS,Solace,SOLSTICE,Spyder,STEADFAST,Stigg,Stratosphere,SW TATAROS,SYEpson,TANKER,TELLUS,Timber,Torch,Torphins,Trident,Tuxedo,Twister,VECTOR,Velocity,Verso,Viscount,Walpole,WARLOCK 24,Warrior,Weaver,WELFORD,WIZARD,Xi19,ZEBEDEE,Zulu
Aberdeen,Aber.,57.1497,-2.0943,2003,1/10,329.0,,,,326.0,,,,,,,,,327.0,326.3,,,,,,,,,,,,,,325.0,,,326.3,,326.3,,,,,,327.7,325.0,,,,,323.7,,,,,,325.7,,,,,,,,,,,,326.7,,,,323.7,,,,,,,,,324.3,,,,,,,,327.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.7,,,,,,,,,,,326.7,324.7,,326.3,,,,327.7,,,,,327.3,,,,,,,,,,,,,326.3,327.0,329.3,,,,329.3,,325.0,,326.3,,,,,,,,325.7,,,327.7,,329.3,,,322.0,,330.0,324.3,,,,,,,323.0,,,,,324.3,,,329.0,327.7,325.0,,
Alkerton,Oxon,52.0834,-1.4545,2013,9/10,,323.0,,,,,,,,,323.0,,,,,,,,,,,,,,,,323.0,,323.0,323.0,323.0,,,323.0,,,323.0,323.0,323.0,,,,324.0,323.0,323.0,,,,,323.0,,,,,,,323.0,,,,323.0,324.0,,,,,323.0,,323.0,,323.0,,,,,,,324.0,,,,323.0,323.0,324.0,,323.0,,,,,,,323.0,324.0,,323.0,323.0,324.0,323.0,,,323.0,,,323.0,323.0,323.0,,,324.0,323.0,,,,,,,,,,,,,,,,,,,,,323.0,,323.0,,,,,,,,,,,,,,323.0,,,,,323.0,,,,,,323.0,323.0,,,,,,,,324.0,323.0,,,,,,,,,,,,,,,,,,,323.0,,,,,,,,323.0,,,323.0,323.0,,,,,,,,,,,,,323.0,323.0,,,,323.0,,,,324.0,,,,,323.0
Alkerton,Oxon,52.0834,-1.4545,2014,8/10,,311.0,,,,,,,,,311.0,,,,,312.0,,,,,,,,,,,311.0,,311.0,,313.0,,,312.0,,,312.0,312.0,311.0,,,,312.0,,312.0,,,,,,,,,,311.0,,312.0,,,,,311.0,,,,,,,312.0,,,,,,,,,312.0,,,,,312.0,314.0,,312.0,313.0,,,,,,,312.0,,312.0,,,311.0,,,311.0,312.0,,,,312.0,,,,,311.0,311.0,,,,,,,,,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,311.0,,,,,312.0,,,,,,312.0,311.0,,,,,,,312.0,311.0,312.0,,312.0,,,,,,,,,,,,311.0,,,,,312.0,,,,,,,,312.0,,,,311.0,,,,,,,,,,,,,,312.0,,,,312.0,,,,,,,,,313.0
Alkerton,Oxon,52.0834,-1.4545,2015,22/10,,310.0,,312.0,,,,,,311.0,,,,,,313.0,,,,311.0,,,,,,,,,310.0,,,,,310.0,,310.0,311.0,311.0,310.0,,,,310.0,,313.0,,,,,,,,,,,,313.0,,,,,310.0,,,,,,,310.0,313.0,,,,,,,,310.0,,,,,312.0,312.0,,311.0,,,,,311.0,,,312.0,312.0,310.0,,,310.0,,,310.0,310.0,,,,313.0,313.0,310.0,,,,313.0,,,,,,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,,,310.0,,310.0,,,310.0,,,,,,,,,,,,,,310.0,310.0,310.0,310.0,312.0,,311.0,,311.0,,,,,,,,,,,,,310.0,,,,,311.0,,,311.0,,,,310.0,313.0,,,,,,,,,,,,,311.0,,,,311.0,,,,,,,,,311.0
Alkerton,Oxon,52.0834,-1.4545,2016,15/10,,,,,,,,,,305.0,,,305.0,,,305.0,,,,,,,,,,,,,301.0,,,,,,,301.0,,301.0,,,,,,,305.0,,,,306.0,,,,,,,,306.0,,,306.0,,301.0,,,,,,,301.0,306.0,,,,,,,,,,,,,,,,305.0,,,,,306.0,306.0,,,306.0,,,,,,305.0,,304.0,,,,305.0,301.0,302.0,,,,305.0,305.0,,,,,,,,,,,,,,,,,,,,302.0,302.0,305.0,,302.0,302.0,,,,,,305.0,305.0,,,,,306.0,,302.0,,,,,,,,,,,,,,302.0,302.0,302.0,,305.0,,305.0,305.0,,305.0,,305.0,,,,,,,,305.0,,302.0,,,306.0,,,,,302.0,,,,,305.0,,,305.0,,,,,,,,,,,,,,302.0,,,,,,,,,302.0
ANNAN,DUMF,54.9902,-3.2598,2002,1/10,315.0,,,,318.0,,,,,,,,,,315.0,,,317.0,,,,316.0,,315.0,,315.0,,,315.0,,,316.0,,,,,,,,,317.0,,,,,,,,,,,315.0,,,,316.0,,,,,,,,,,,,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,,314.0,,,,,,,,,,,318.0,,,317.0,,,,,316.0,,,,,,,,,,,,,,,,,,316.0,318.0,,,,321.0,,315.0,,,,,318.0,,,,,,,,318.0,,,,,,,315.0,316.0,,,,,,,,,,,,316.0,,,,317.0,316.0,,
Anstruth,Fife,56.223,-2.7005,2013,30/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHF'D,KENT,51.1465,0.875,2002,1/10,313.0,,,,310.0,,,,,,,,,,311.0,,,310.0,,,,312.0,,311.0,309.0,310.0,,,310.0,,,312.0,,,,,,,,,312.0,,,,,,,,,,,311.0,,,,313.0,,,,,,,,,,,,311.0,,,,,,,,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,310.0,,,,,,,,,,,313.0,,,312.0,,,,,312.0,,,,,,,,,,,,,,,,,,311.0,312.0,,,,313.0,,310.0,,,,,312.0,,,,,,305.0,,311.0,,,,,,,313.0,311.0,,,,,,,,,,,,310.0,,,,312.0,311.0,,
Attlebro,Norfk,52.5181,1.0155,2006,1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attlebro,Norfk,52.5181,1.0155,2008,1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
