Region,Region County,Lat,Long,Year,Sow Month,Access,Alchemy,Ambrosia,Amplify,Arran,Asagai,Atlanta,Bantam,Battalion,Belgrade,Beluga,Benedict,Bennington,Bentley,Biscay,Britannia,Brompton,Brunel,Buchan,Butler,Buzzer,Carlton,Cassius,Chardonnay,Charger,Chatsworth,Chilton,Chronicle,Claire,Cocoon,Conqueror,Consort,Contender,Cordiale,Coronation,Costello,Cougar,Crusoe,Cubanita,Dart,Deben,Defender,Delphi,Denman,Dickens,Dickson,Director,Dover,Dunston,Duxford,Edmunds,Einstein,Elation,Elicit,Energise,Equinox,Evolution,Exeter,Fastnet,Freiston,Fugue,Gallant,Gatsby,Gladiator,Glasgow,Gleam,Goldengun,Goodwood,Grafton,Graham,Gravitas,Gulliver,Gulliver.1,Hardwicke,Havana,Hereford,Hereward,Heritage,Horatio,Humber,Hurley,Hyperion,Icebreaker,Icon,Invicta,Istabraq,JB Diego,Jorvik,Ketchum,Kingdom,Kipling,KWS Barrel,KWS Basset,KWS Bonham,KWS Cashel,KWS Crispin,KWS Croft,KWS Dali,KWS Evoke,KWS Gator,KWS Jackal,KWS Kerrin,KWS Kielder,KWS Lili,KWS Luther,KWS Podium,KWS Rowan,KWS Santiago,KWS Silverstone,KWS Siskin,KWS Sterling,KWS Target,KWS Tempo,KWS Trinity,KWS Zyatt,KWS Cleveland,KWS Croft.1,KWS Curlew,KWS Gator.1,KWS Gymnast,KWS Horizon,KWS Kielder.1,KWS Podium.1,KWS Quartz,KWS Rowan.1,KWS Santiago.1,KWS Saxtead,KWS Solo,KWS Sterling.1,KWS Target.1,KWS Yaris,Lancaster,Lear,Leeds,LG Bletchley,LG Cassidy,LG Generation,LG Motown,LG Sundance,Limerick,Macro,Madrigal,Malacca,Marksman,Marlowe,Marston,Mascot,Monterey,Monty,Mosaic,Moulton,Musketeer,Myriad,Napier,NIijinsky,Oakley,Option,Orbit,Panacea,Panorama,Pennant,Phlebas,Piranha,QI,Qplus,Quest,Reflection,Relay,Revelation,RGT Adventure,RGT Conversion,RGT Gravity,RGT Illustrious,RGT Knightsbridge,RGT Marlborough,RGT Paddington,RGT Universe,RGT Westminster,Riband,Richmond,Robigus,Rocky,Ruskin,Sahara,Savannah,Savello,Scorpion 25,Scout,Senator,Senator.1,Shabras,Shamrock,Sherlock,Shire,Shogun,Skyfall,Smuggler,Soissons,Solace,Solstice,Spyder,Steadfast,Stigg,Stratosphere,SW Tataros,SY Epson,Tanker,Tellus,Timber,Torch,Torphins,Trident,Tuxedo,Twister,Vector,Velocity,Verso,Viscount,Walpole,Warlock 24,Warrior,Weaver,Welford,Wizard,Xi19,Zebedee,Zulu
Aberdeen,Aber.,57.1497,-2.0943,2003,1/10,9.21,,,,9.21,,,,,,,,,8.84,9.56,,,,,,,,,,,,,,8.31,,,8.85,,9.17,,,,,,8.64,9.28,,,,,9.21,,,,,,9.44,,,,,,,,,,,,9.36,,,,8.63,,,,,,,,,,9.21,,,,,,,,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,9.11,8.63,,8.46,,,,8.77,,,,,9.52,,,,,,,,,,,,,9.31,8.8,8.48,,,,8.78,,9.33,,9.26,,,,,,,,8.85,,,8.86,,8.93,,,7.75,,9.38,8.54,,,,,,,9.24,,,,,9.0,,,9.13,8.97,8.9,,
Alkerton,Oxon,52.0834,-1.4545,2013,9/10,,8.76,,,,,,,,,8.28,,,,,,,,,,,,,,,,9.32,,9.28,9.88,9.18,,,8.31,,,9.67,9.35,9.72,,,,9.92,8.99,9.66,,,,,8.51,,,,,,,9.99,,,,8.3,7.85,,,,,9.66,,8.86,,9.18,,,,,,,,9.14,,,,8.95,8.44,9.1,,9.3,,,,,,,9.03,8.52,,8.61,9.29,10.03,9.48,,,10.06,,,8.94,8.94,10.07,,,8.74,7.85,,,,,,,,,,,,,,,,,,,,9.56,,8.98,,,,,,,,,,,,,,8.95,,,,,9.25,,,,,,9.68,8.72,,,,,,,,9.82,9.33,,,,,,,,,,,,,,,,,,,9.49,,,,,,,,10.33,,,9.49,9.27,,,,,,,,,,,,,9.81,9.63,,,,8.98,,,,9.44,,,,,9.05
Alkerton,Oxon,52.0834,-1.4545,2014,8/10,,14.8,,,,,,,,,15.09,,,,,14.04,,,,,,,,,,,14.37,,14.57,,14.59,,,14.46,,,14.85,14.54,,,,,14.33,,15.22,,,,,,,,,,13.73,,,,,,,13.04,,,,,,,14.16,,,,,,,,,,14.46,,,,,14.0,14.35,,15.71,,,,,,,,13.39,,14.0,,,14.62,,,15.17,14.75,,,,14.39,,,,,,14.25,,,,,,,,,,,,,,,,,,,,14.88,,,,,,,,,,,,,,13.83,,,,,15.09,,,,,,14.19,14.87,,,,,,,15.12,13.29,,,13.39,,,,,,,,,,,,,,,,,13.41,,,,,,,,14.78,,,,12.81,,,,,,,,,,,,,,14.49,,,,14.13,,,,,,,,,14.28
Alkerton,Oxon,52.0834,-1.4545,2015,22/10,,12.03,,12.04,,,,,,12.16,,,,,,12.0,,,,12.07,,,,,,,,,11.81,,,,,11.57,,12.61,11.7,11.63,12.26,,,,12.44,,13.63,,,,,,,,,,,,12.15,,,,,11.5,,,,,,,11.4,12.99,,,,,,,,,11.43,,,,,11.8,11.33,,12.48,,,,,13.23,,,10.64,12.63,12.23,,,11.91,,,11.97,12.78,,,,12.95,12.51,11.95,,,,12.55,,,,,,,,,,,,,,,,,,,,11.93,,,,,,,,,,,,,,10.5,,12.85,,,11.66,,,,,,,,,,,,,,11.99,11.53,12.71,11.96,12.01,,12.05,,11.55,,,,,,,,,,,,,11.87,,,,,11.21,,,12.95,,,,11.74,12.09,,,,,,,,,,,,,11.8,,,,12.24,,,,,,,,,11.58
Alkerton,Oxon,52.0834,-1.4545,2016,15/10,,,,,,,,,,9.93,,,10.23,,,10.27,,,,,,,,,,,,,9.85,,,,,,,9.16,,9.58,,,,,,,9.59,,,,9.68,,,,,,,,10.39,,,10.64,,10.55,,,,,,,10.11,10.24,,,,,,,,,,,,,,,,,10.3,,,,,10.12,9.68,,,9.31,,,,,,9.12,,10.01,,,,10.32,8.64,10.13,,,,9.44,10.5,,,,,,,,,,,,,,,,,,,9.27,9.46,10.39,,8.96,10.22,,,,,,10.76,9.7,,,,,10.62,,9.54,,,,,,,,,,,,,,,9.74,9.82,,9.66,,9.85,9.9,,10.37,,10.12,,,,,,,,9.55,,8.84,,,10.81,,,,,9.97,,,,,9.49,,,9.89,,,,,,,,,,,,,,9.57,,,,,,,,,9.2
ANNAN,DUMF,54.9902,-3.2598,2002,1/10,8.95,,,,9.39,,,,,,,,,,9.25,,,8.55,,,,8.74,,8.77,,8.88,,,9.63,,,9.05,,,,,,,,,9.49,,,,,,,,,,,9.49,,,,9.06,,,,,,,,,,,,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39,,8.68,,,,,,,,,,,9.29,,,9.52,,,,,8.52,,,,,,,,,,,,,,,,,,9.53,9.5,,,,9.18,,8.12,,,,,9.07,,,,,,,,9.02,,,,,,,9.34,8.93,,,,,,,,,,,,8.58,,,,9.07,8.28,,
Anstruth,Fife,56.223,-2.7005,2013,30/10,,,,,,,,,,,7.14,,,,,,,,,,,,,,,,7.07,,,,,,,6.87,,,7.53,6.51,7.17,,,,6.66,6.61,7.63,,,,,,,,,,,,6.87,,,,6.98,6.19,,,,,6.77,,6.83,,,,,,,,,,7.13,,,,6.95,6.7,7.02,,6.71,,,,,,,6.63,6.88,,6.79,7.21,6.33,7.55,,,7.58,,,6.18,7.06,6.74,,,6.63,,,,,,,,,,,,,,,,,,,,,6.86,,7.54,,,,,,,,,,,,,,6.46,,,,,6.56,,,,,,7.11,,,,,,,,,7.4,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,,,6.86,7.22,,,,,,,,,,,,,,7.62,,,,6.18,,,,7.04,,,,,6.47
ASHF'D,KENT,51.1465,0.875,2002,1/10,10.69,,,,10.57,,,,,,,,,,11.37,,,10.73,,,,10.43,,9.96,10.23,9.36,,,10.96,,,9.86,,,,,,,,,10.89,,,,,,,,,,,10.97,,,,9.96,,,,,,,,,,,,10.86,,,,,,,,,9.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11,,10.19,,,,,,,,,,,10.84,,,10.75,,,,,10.06,,,,,,,,,,,,,,,,,,10.85,12.1,,,,10.7,,9.86,,,,,10.16,,,,,,9.52,,10.51,,,,,,,9.57,10.01,,,,,,,,,,,,10.06,,,,10.4,10.0,,
Attlebro,Norfk,52.5181,1.0155,2006,1/10,,6.82,7.82,,,,,,7.63,,,7.89,,,,,7.32,,,,,,,,,,,,6.69,,,6.27,6.94,6.98,,,,,,,6.78,,,,,,,6.37,,,,6.77,,,,,,,,,,,6.44,7.21,6.74,,,,,,,6.79,,,,,5.67,,,7.15,,6.87,,,,7.15,,,,,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,7.08,,,,,,,,6.38,6.78,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,7.16,,,,,,,,,,,,,,6.83,,6.68,,,,,,,,,7.76,,,,,,,,,,,,,,6.67,,7.0,7.7,
Attlebro,Norfk,52.5181,1.0155,2008,1/10,,12.45,,,,,,13.22,11.92,,,,,,,,,,,,12.45,,12.65,,,,,,12.65,,13.51,,,13.01,,,,,,,,,,,,,,,,12.94,,12.35,,,,,,,,,,12.71,,12.59,13.28,,,,12.59,,,,,,,,11.05,,,13.02,,,,,,12.92,13.55,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.81,,,,,,,12.91,,,,12.24,,,11.38,,12.52,,,,,,,13.7,,,,12.85,,,,,11.98,,,,,,,,,,,,,,,,12.74,,,,,,,12.5,,,,,,,12.83,,,,,12.6,,,,,,,,,12.6,,,,,,,,,12.73,12.75,,,,,,12.98,13.33,
Attlebro,Norfk,52.5181,1.0155,2012,1/10,,8.85,,,,,,,,,9.29,,,,,,,,,,,,,,,,8.32,8.43,9.38,9.16,9.02,,,9.55,7.8,,8.33,8.68,,,,,9.43,9.43,9.71,,,,,8.27,,,,,,,,,,,,10.06,,,,,,,9.21,,8.42,,,,9.03,,,,9.62,,,,,,8.19,,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06,8.47,,9.11,,,9.17,9.6,,9.39,10.1,,,8.33,8.22,8.16,,,9.84,,,,,,,,,,,,,,9.16,,,,,9.47,,,8.84,,,,9.38,,,,9.6,,,,8.54,9.21,,,,,,,,,,,,,,,,,,,8.49,,,,,,,,,,,,9.29,,,9.04,,,,,,,9.57,7.54,,8.31,,,,,9.42,,,9.23,9.99,,,,,
Auchnagatt,Aberdn,57.466,-2.117,2014,28/9,,10.66,,,,,,,,,11.15,,,,,10.59,,,,,,,,,,,10.28,,,,,,,10.25,,,10.3,10.28,10.53,,,,10.06,,11.01,,,,,,,,,,11.03,,11.59,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,10.32,10.87,,11.2,11.01,,,,,,,9.92,,10.82,,,,,,10.94,10.67,,,,10.58,,,,,10.65,10.39,,,,,,,,,,,,,,,,,,,,11.05,,,,,,,,,,,,,,10.42,,,,,10.79,,,,,,10.85,,,,,,,,10.64,,10.29,,10.62,,,,,,,,,,,,10.23,,,,,,,,,,,,,10.68,,,,10.1,,,,,,,,,,,,,,10.86,,,,10.62,,,,,,,,,10.48
Auchnagatt,Aberdn,57.466,-2.117,2015,24/9,,9.81,,9.4,,,,,,7.93,,,,,,11.24,,,,9.96,,,,,,,,,,,,,,6.96,,9.78,10.57,8.24,7.77,,,,,,9.8,,,,,,,,,,,,11.21,,,,,6.13,,,,,,,,8.05,,,,,,,,,,,,,,9.32,7.61,,10.04,,,,,11.73,,,9.27,8.4,7.56,,,,,,10.34,11.13,,,,10.86,11.11,9.82,,,,10.21,,,,,,,,,,,,,,,,,,,,11.11,,,,,,,,,,,,,,10.14,,9.76,,,10.99,,,,,,,,,,,,,,9.62,,9.96,9.24,11.51,,9.85,,11.46,,,,,,,,,,,,,,,,,,10.05,,,9.86,,,,9.91,9.41,,,,,,,,,,,,,10.91,,,,9.26,,,,,,,,,10.8
Auchnagatt,Aberdn,57.466,-2.117,2016,29/9,,,,,,,,,,9.63,,,9.0,,,9.89,,,,,,,,,,,,,,,,,,7.84,,8.79,,7.98,,,,,,,9.65,,,,9.29,,,,,,,,9.94,,,9.67,,,,,,,,,,9.33,,,,,,,,,,,,,,,,,9.73,,,,,10.74,9.23,,,8.56,,,,,,10.46,,9.89,,,,9.66,9.95,8.58,,,,8.76,8.49,,,,,,,,,,,,,,,,,,,10.22,9.76,8.31,,9.96,9.16,,,,,,9.11,9.21,,,,,8.87,,10.4,,,,,,,,,,,,,,9.96,,8.77,,9.67,,8.73,9.86,,,,9.39,,,,,,,,10.16,,,,,9.7,,,,,9.03,,,,,9.08,,,10.12,,,,,,,,,,,,,,10.04,,,,,,,,,9.41
