Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10-Jan,0,0
Alkerton,Oxon,52.0834,-1.4545,2013,10-Sep,0,0
Alkerton,Oxon,52.0834,-1.4545,2014,10-Aug,0,0
Alkerton,Oxon,52.0834,-1.4545,2015,22-Oct,0,0
Alkerton,Oxon,52.0834,-1.4545,2016,15-Oct,0,0
ANNAN,DUMF,54.9902,-3.2598,2002,10-Jan,0,0
Anstruth,Fife,56.223,-2.7005,2013,30-Oct,0,0
ASHF'D,KENT,51.1465,0.875,2002,10-Jan,0,0
Attlebro,Norfk,52.5181,1.0155,2006,10-Jan,0,7.63
Attlebro,Norfk,52.5181,1.0155,2008,10-Jan,0,11.92
Attlebro,Norfk,52.5181,1.0155,2012,10-Jan,0,0
Auchnagatt,Aberdn,57.466,-2.117,2014,28-Sep,0,0
Auchnagatt,Aberdn,57.466,-2.117,2015,24-Sep,0,0
Auchnagatt,Aberdn,57.466,-2.117,2016,29-Sep,0,0
Balgonie,Fife,56.1843,-3.1244,2012,10-Jan,0,0
Balgonie,Fife,56.1843,-3.1244,2013,15-Oct,0,0
Balgonie,Fife,56.1843,-3.1244,2015,27-Sep,0,0
Balgonie,Fife,56.1843,-3.1244,2016,27-Nov,0,0
Balgonie,Fife,56.1843,-3.1244,2017,10-Jan,0,0
Bannister,Essex,51.8599,0.4633,2010,10-Sep,0,0
Barnston,Essex,51.8533,0.3865,2004,10-Jan,0,0
Barnston,Essex,51.8533,0.3865,2005,10-Jan,0,0
Barnston,Essex,51.8533,0.3865,2007,10-Jan,0,0
Barnston,Essex,51.8533,0.3865,2015,10-Oct,0,0
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10-Jan,0,0
Barthorpe,NYorks,54.0264,-0.8172,2011,27-Sep,0,0
Barthorpe,NYorks,54.0264,-0.8172,2012,10-Jan,0,0
Barthorpe,NYorks,54.0264,-0.8172,2014,10-Jan,0,0
Barthorpe,NYorks,54.0264,-0.8172,2015,27-Sep,0,0
Baumber,Lincolnshire,53.2523,-0.1713,2005,10-Jan,0,0
Baumber,Lincs,53.2523,-0.1713,2006,10-Jan,0,10.58
Baumber,Lincs,53.2523,-0.1713,2008,21-Oct,0,12.04
Baumber,Lincs,53.2523,-0.1713,2009,21-Oct,0,7.45
Baumber,Lincs,53.2523,-0.1713,2017,27-Oct,0,0
Beausale,Warwick,52.3342,-1.6477,2007,10-Jan,0,9.79
Beausale,Warwick,52.3342,-1.6477,2008,13-Oct,0,9.32
Beausale,Warwick,52.3342,-1.6477,2009,13-Oct,305,11.04
Bedfield,Sufflk,52.2532,1.2502,2014,30-Sep,0,0
Bedfield,Sufflk,52.2532,1.2502,2015,27-Sep,0,0
Bedfield,Sufflk,52.2532,1.2502,2016,28-Sep,0,0
Bedfield,Sufflk,52.2532,1.2502,2017,28-Sep,0,0
Binbrook,NLincs,53.429,-0.1807,2008,10-Jan,323,11.13
Bowsden,Northumberland,55.6729,-2.0135,2004,10-Jan,0,0
Bowsden,Northumberland,55.6729,-2.0135,2005,10-Jan,0,0
Bowsden,Nrthum,55.6729,-2.0135,2006,10-Jan,315.67,10.53
Bowsdn,Nrthum,55.6729,-2.0135,2007,10-Jan,0,0
Bowsdn,Nrthum,55.6729,-2.0135,2008,10-Jan,315,10.23
Bramham,West Yorkshire,53.8785,-1.3504,2004,10-Jan,0,0
Brechin,Angus,56.7333,-2.6553,2016,25-Sep,0,0
Brechin,Angus,56.7333,-2.6553,2017,28-Sep,0,0
Broughtn,Hants,53.1635,-2.9972,2012,10-Jan,0,0
Broughtn,Hants,53.1635,-2.9972,2014,24-Oct,0,0
Broughtn,Hants,53.1635,-2.9972,2015,22-Oct,0,0
Broughtn,Hants,53.1635,-2.9972,2017,10-Nov,0,0
Bstoke,Hants,51.2665,-1.0924,2012,10-Jan,0,0
Bugthorpe,Nyorks,54.0116,-0.8236,2008,10-Jan,310,9.27
Bugthorpe,NYorks,54.0116,-0.8236,2010,29-Sep,0,0
Burdon,Sundland,54.8568,-1.3988,2017,25-Sep,0,0
Burkham,Hants,51.1769,-1.0711,2014,10-Nov,0,0
Burkham,Hants,51.1769,-1.0711,2016,16-Oct,0,0
BuryStE,Sufflk,52.2429,0.7105,2006,10-Jan,0,11
BuryStE,Sufflk,52.2429,0.7105,2008,10-Jan,293,9.78
Callow,Herefd,52.0051,-2.7385,2017,23-Sep,0,0
Cambridge,Cambs.,52.2053,0.1218,2003,10-Jan,0,0
Canterbury,Kent,51.2802,1.0789,2003,10-Jan,0,0
Cawood,North Yorkshire,53.8333,-1.1316,2015,10-Mar,0,0
Cawood,NYorks,53.8333,-1.1316,2016,10-Jan,0,0
Cawood,NYorks,53.8333,-1.1316,2017,30-Sep,0,0
Caythorpe,Lincolnshire,53.0216,-0.6046,2004,10-Jan,0,0
Caythorpe,Lincolnshire,53.0216,-0.6046,2005,10-Jan,0,0
Ccreevy,Down,53.79448,-6.076,2007,10-Jan,0,0
Ccreevy,Down,53.79448,-6.076,2010,10-Aug,0,0
Ccreevy,Down,53.79448,-6.076,2012,10-Jan,0,0
Ccreevy,Down,53.79448,-6.076,2014,15-Oct,0,0
CIRENC,GLOS,51.7185,-1.9682,2002,10-Jan,0,0
Cirencester,Glos.,51.7185,-1.9682,2003,10-Jan,0,0
Coates,Gloucestershire,52.5613,-2.0325,2004,10-Jan,0,0
Coates,Gloucs,52.5613,-2.0325,2017,14-Oct,0,0
COLDSM,BORD,55.6513,-2.2534,2002,10-Jan,0,0
Coniston,E Riding of Yorkshire,54.3432,-3.0716,2004,10-Jan,0,0
COUPAR,P KINR,56.5479,-3.2655,2002,10-Jan,0,0
Coupar Angus,Perth/Kinr.,56.5479,-3.2655,2003,10-Jan,0,0
Cowbridge,Glamorgan,51.4621,-3.4496,2017,10-Jul,0,0
Crambe,Nyorks,54.0746,-0.8814,2006,10-Jan,304,10.11
Crambe,Nyorks,54.0746,-0.8814,2007,10-Jan,0,0
Cranwell,Lincs,53.036,-0.4677,2007,10-Jan,0,8
Crawly,Hants,51.1091,-1.3898,2010,10-Mar,296,10.46
Crawly,Hants,51.1091,-1.3898,2011,27-Sep,0,0
CROFT,N YRKS,54.4835,-1.5551,2002,10-Jan,0,0
Croft,NYorks,54.4835,-1.5551,2009,10-Feb,322,11.14
Croft,NYorks,54.4835,-1.5551,2010,23-Sep,328,11.12
Croft,Teesside,54.4835,-1.5551,2011,27-Sep,0,0
Croft,Teesside,54.4835,-1.5551,2012,10-Jan,0,0
Croft,Teesside,54.4835,-1.5551,2013,10-Jun,0,0
Croft,Teesside,54.4835,-1.5551,2014,27-Sep,0,0
Croft,Teesside,54.4835,-1.5551,2015,25-Sep,0,0
Croft,NYorks,54.4835,-1.5551,2017,24-Sep,0,0
Croft on Tees,N Yorks.,54.4835,-1.5551,2003,10-Jan,0,0
Croft on Tees,North Yorkshire,54.4835,-1.5551,2004,10-Jan,0,0
C'thorpe,Lincs,53.0216,-0.6046,2006,10-Jan,256,7.93
Deopham,Norfk,52.5593,1.0225,2017,27-Sep,0,0
Didbrook,Gloucestershire,51.982,-1.9244,2005,10-Jan,0,0
Didbrook,Gloucs,51.982,-1.9244,2007,10-Jan,0,0
Didbrook,Gloucs,51.982,-1.9244,2008,10-Mar,0,11.51
Didbrook,Gloucs,51.982,-1.9244,2009,10-Mar,0,9.18
Didbrook,Gloucs,51.982,-1.9244,2010,13-Oct,0,0
Didbrook,Gloucs,51.982,-1.9244,2011,10-Dec,0,0
Didbrook,Gloucs,51.982,-1.9244,2012,10-Jan,0,0
Didbrook,Gloucs,51.982,-1.9244,2016,30-Sep,0,0
DownP,Down,54.3288,-5.7157,2007,10-Jan,0,0
DownP,Down,54.3288,-5.7157,2008,10-Jan,0,9.05
DownP,Down,54.3288,-5.7157,2011,19-Oct,0,0
Duggleby,North Yorkshire,54.0928,-0.6573,2004,10-Jan,0,0
