Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10/1,326.3,9.17
Alkerton,Oxon,52.0834,-1.4545,2013,10/9,323,8.31
Alkerton,Oxon,52.0834,-1.4545,2014,10/8,312,14.46
Alkerton,Oxon,52.0834,-1.4545,2015,22/10,310,11.57
Alkerton,Oxon,52.0834,-1.4545,2016,15/10,,
ANNAN,DUMF,54.9902,-3.2598,2002,10/1,,
Anstruth,Fife,56.223,-2.7005,2013,30/10,,6.87
ASHF'D,KENT,51.1465,0.875,2002,10/1,,
Attlebro,Norfk,52.5181,1.0155,2006,10/1,,6.98
Attlebro,Norfk,52.5181,1.0155,2008,10/1,,13.01
Attlebro,Norfk,52.5181,1.0155,2012,10/1,284,9.55
Auchnagatt,Aberdn,57.466,-2.117,2014,28/9,337,10.25
Auchnagatt,Aberdn,57.466,-2.117,2015,24/9,359,6.96
Auchnagatt,Aberdn,57.466,-2.117,2016,29/9,347,7.84
Balgonie,Fife,56.1843,-3.1244,2012,10/1,345,5.31
Balgonie,Fife,56.1843,-3.1244,2013,15/10,315,8.22
Balgonie,Fife,56.1843,-3.1244,2015,27/9,342,11.45
Balgonie,Fife,56.1843,-3.1244,2016,27/11,334,10.17
Balgonie,Fife,56.1843,-3.1244,2017,10/1,331,11.34
Bannister,Essex,51.8599,0.4633,2010,10/9,,
Barnston,Essex,51.8533,0.3865,2004,10/1,317,10.41
Barnston,Essex,51.8533,0.3865,2005,10/1,277,12.69
Barnston,Essex,51.8533,0.3865,2007,10/1,,10.64
Barnston,Essex,51.8533,0.3865,2015,10/10,283,10.26
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10/1,319,10.4
Barthorpe,NYorks,54.0264,-0.8172,2011,27/9,,8.74
Barthorpe,NYorks,54.0264,-0.8172,2012,10/1,319,10.22
Barthorpe,NYorks,54.0264,-0.8172,2014,10/1,303,11.16
Barthorpe,NYorks,54.0264,-0.8172,2015,27/9,,11.48
Baumber,Lincolnshire,53.2523,-0.1713,2005,10/1,,8.78
Baumber,Lincs,53.2523,-0.1713,2006,10/1,,9.85
Baumber,Lincs,53.2523,-0.1713,2008,21/10,,12.54
Baumber,Lincs,53.2523,-0.1713,2009,21/10,,7.07
Baumber,Lincs,53.2523,-0.1713,2017,27/10,,9.88
Beausale,Warwick,52.3342,-1.6477,2007,10/1,,9.06
Beausale,Warwick,52.3342,-1.6477,2008,13/10,,8.7
Beausale,Warwick,52.3342,-1.6477,2009,13/10,303,10.55
Bedfield,Sufflk,52.2532,1.2502,2014,30/9,297,12.79
Bedfield,Sufflk,52.2532,1.2502,2015,27/9,309,12.39
Bedfield,Sufflk,52.2532,1.2502,2016,28/9,,11.24
Bedfield,Sufflk,52.2532,1.2502,2017,28/9,,11.5
Binbrook,NLincs,53.429,-0.1807,2008,10/1,321,11.76
Bowsden,Northumberland,55.6729,-2.0135,2004,10/1,326,10.59
Bowsden,Northumberland,55.6729,-2.0135,2005,10/1,331,9.24
Bowsden,Nrthum,55.6729,-2.0135,2006,10/1,318.67,9.67
Bowsdn,Nrthum,55.6729,-2.0135,2007,10/1,318,9.57
Bowsdn,Nrthum,55.6729,-2.0135,2008,10/1,312,10.27
Bramham,West Yorkshire,53.8785,-1.3504,2004,10/1,325,8.64
Brechin,Angus,56.7333,-2.6553,2016,25/9,337,9.33
Brechin,Angus,56.7333,-2.6553,2017,28/9,338,8.61
Broughtn,Hants,53.1635,-2.9972,2012,10/1,,9.6
Broughtn,Hants,53.1635,-2.9972,2014,24/10,,11.28
Broughtn,Hants,53.1635,-2.9972,2015,22/10,,11.52
Broughtn,Hants,53.1635,-2.9972,2017,10/11,,11.15
Bstoke,Hants,51.2665,-1.0924,2012,10/1,,8.26
Bugthorpe,Nyorks,54.0116,-0.8236,2008,10/1,302,10.19
Bugthorpe,NYorks,54.0116,-0.8236,2010,29/9,,
Burdon,Sundland,54.8568,-1.3988,2017,25/9,321,9.74
Burkham,Hants,51.1769,-1.0711,2014,10/11,,10.05
Burkham,Hants,51.1769,-1.0711,2016,16/10,,8.73
BuryStE,Sufflk,52.2429,0.7105,2006,10/1,,10.95
BuryStE,Sufflk,52.2429,0.7105,2008,10/1,290,9.11
C'thorpe,Lincs,53.0216,-0.6046,2006,10/1,254.67,7.62
Callow,Herefd,52.0051,-2.7385,2017,23/9,312,12.16
Cambridge,Cambs.,52.2053,0.1218,2003,10/1,,10.84
Canterbury,Kent,51.2802,1.0789,2003,10/1,307.7,11.78
Cawood,North Yorkshire,53.8333,-1.1316,2015,10/3,314,17.47
Cawood,NYorks,53.8333,-1.1316,2016,10/1,307,12.76
Cawood,NYorks,53.8333,-1.1316,2017,30/9,,11.93
Caythorpe,Lincolnshire,53.0216,-0.6046,2004,10/1,285,7.36
Caythorpe,Lincolnshire,53.0216,-0.6046,2005,10/1,268,8.93
Ccreevy,Down,53.79448,-6.076,2007,10/1,315,9.5
Ccreevy,Down,53.79448,-6.076,2010,10/8,,
Ccreevy,Down,53.79448,-6.076,2012,10/1,,7.3
Ccreevy,Down,53.79448,-6.076,2014,15/10,,
CIRENC,GLOS,51.7185,-1.9682,2002,10/1,,
Cirencester,Glos.,51.7185,-1.9682,2003,10/1,,10.97
Coates,Gloucestershire,52.5613,-2.0325,2004,10/1,300,12.09
Coates,Gloucs,52.5613,-2.0325,2017,14/10,,8.84
COLDSM,BORD,55.6513,-2.2534,2002,10/1,,
Coniston,E Riding of Yorkshire,54.3432,-3.0716,2004,10/1,311,11.37
COUPAR,P KINR,56.5479,-3.2655,2002,10/1,,
Coupar Angus,Perth/Kinr.,56.5479,-3.2655,2003,10/1,,
Cowbridge,Glamorgan,51.4621,-3.4496,2017,10/7,293,11.23
Crambe,Nyorks,54.0746,-0.8814,2006,10/1,299,10.06
Crambe,Nyorks,54.0746,-0.8814,2007,10/1,311,10.71
Cranwell,Lincs,53.036,-0.4677,2007,10/1,,8.88
Crawly,Hants,51.1091,-1.3898,2010,10/3,294,9.91
Crawly,Hants,51.1091,-1.3898,2011,27/9,,9.02
CROFT,N YRKS,54.4835,-1.5551,2002,10/1,,
Croft,NYorks,54.4835,-1.5551,2009,10/2,322,11.19
Croft,NYorks,54.4835,-1.5551,2010,23/9,326,10.17
Croft,Teesside,54.4835,-1.5551,2011,27/9,319,13.21
Croft,Teesside,54.4835,-1.5551,2012,10/1,330,8.57
Croft,Teesside,54.4835,-1.5551,2013,10/6,,8.97
Croft,Teesside,54.4835,-1.5551,2014,27/9,316,12.51
Croft,Teesside,54.4835,-1.5551,2015,25/9,331,13.8
Croft,NYorks,54.4835,-1.5551,2017,24/9,326,12.76
Croft on Tees,N Yorks.,54.4835,-1.5551,2003,10/1,310.3,11.98
Croft on Tees,North Yorkshire,54.4835,-1.5551,2004,10/1,,
Deopham,Norfk,52.5593,1.0225,2017,27/9,304,10.52
