Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10-Jan,,
Alkerton,Oxon,52.0834,-1.4545,2013,10-Sep,324,9.92
Alkerton,Oxon,52.0834,-1.4545,2014,10-Aug,312,14.33
Alkerton,Oxon,52.0834,-1.4545,2015,22-Oct,310,12.44
Alkerton,Oxon,52.0834,-1.4545,2016,15-Oct,,
ANNAN,DUMF,54.9902,-3.2598,2002,10-Jan,,
Anstruth,Fife,56.223,-2.7005,2013,30-Oct,,6.66
ASHF'D,KENT,51.1465,0.875,2002,10-Jan,,
Attlebro,Norfk,52.5181,1.0155,2006,10-Jan,,
Attlebro,Norfk,52.5181,1.0155,2008,10-Jan,,
Attlebro,Norfk,52.5181,1.0155,2012,10-Jan,282,9.43
Auchnagatt,Aberdn,57.466,-2.117,2014,28-Sep,340,10.06
Auchnagatt,Aberdn,57.466,-2.117,2015,24-Sep,,
Auchnagatt,Aberdn,57.466,-2.117,2016,29-Sep,,
Balgonie,Fife,56.1843,-3.1244,2012,10-Jan,346,7.88
Balgonie,Fife,56.1843,-3.1244,2013,15-Oct,320,9.15
Balgonie,Fife,56.1843,-3.1244,2015,27-Sep,,
Balgonie,Fife,56.1843,-3.1244,2016,27-Nov,,
Balgonie,Fife,56.1843,-3.1244,2017,10-Jan,,
Bannister,Essex,51.8599,0.4633,2010,10-Sep,,
Barnston,Essex,51.8533,0.3865,2004,10-Jan,,
Barnston,Essex,51.8533,0.3865,2005,10-Jan,,
Barnston,Essex,51.8533,0.3865,2007,10-Jan,,
Barnston,Essex,51.8533,0.3865,2015,10-Oct,288,10.42
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10-Jan,,
Barthorpe,NYorks,54.0264,-0.8172,2011,27-Sep,,9.9
Barthorpe,NYorks,54.0264,-0.8172,2012,10-Jan,322,10.32
Barthorpe,NYorks,54.0264,-0.8172,2014,10-Jan,312,11.12
Barthorpe,NYorks,54.0264,-0.8172,2015,27-Sep,,12.17
Baumber,Lincolnshire,53.2523,-0.1713,2005,10-Jan,,
Baumber,Lincs,53.2523,-0.1713,2006,10-Jan,,
Baumber,Lincs,53.2523,-0.1713,2008,21-Oct,,
Baumber,Lincs,53.2523,-0.1713,2009,21-Oct,,
Baumber,Lincs,53.2523,-0.1713,2017,27-Oct,,
Beausale,Warwick,52.3342,-1.6477,2007,10-Jan,,
Beausale,Warwick,52.3342,-1.6477,2008,13-Oct,,
Beausale,Warwick,52.3342,-1.6477,2009,13-Oct,,
Bedfield,Sufflk,52.2532,1.2502,2014,30-Sep,300,13.24
Bedfield,Sufflk,52.2532,1.2502,2015,27-Sep,310,12.64
Bedfield,Sufflk,52.2532,1.2502,2016,28-Sep,,
Bedfield,Sufflk,52.2532,1.2502,2017,28-Sep,,
Binbrook,NLincs,53.428999999999995,-0.1807,2008,10-Jan,,
Bowsden,Northumberland,55.6729,-2.0135,2004,10-Jan,,
Bowsden,Northumberland,55.6729,-2.0135,2005,10-Jan,,
Bowsden,Nrthum,55.6729,-2.0135,2006,10-Jan,,
Bowsdn,Nrthum,55.6729,-2.0135,2007,10-Jan,,
Bowsdn,Nrthum,55.6729,-2.0135,2008,10-Jan,,
Bramham,West Yorkshire,53.8785,-1.3504,2004,10-Jan,,
Brechin,Angus,56.7333,-2.6553,2016,25-Sep,,
Brechin,Angus,56.7333,-2.6553,2017,28-Sep,,
Broughtn,Hants,53.1635,-2.9972,2012,10-Jan,,9.31
Broughtn,Hants,53.1635,-2.9972,2014,24-Oct,,11.95
Broughtn,Hants,53.1635,-2.9972,2015,22-Oct,,12.09
Broughtn,Hants,53.1635,-2.9972,2017,10-Nov,,
Bstoke,Hants,51.2665,-1.0924,2012,10-Jan,,7.52
Bugthorpe,Nyorks,54.0116,-0.8236,2008,10-Jan,,
Bugthorpe,NYorks,54.0116,-0.8236,2010,29-Sep,,
Burdon,Sundland,54.8568,-1.3988,2017,25-Sep,,
