Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10-Jan,0,0
Alkerton,Oxon,52.0834,-1.4545,2013,10-Sep,323,9.66
Alkerton,Oxon,52.0834,-1.4545,2014,10-Aug,312,15.22
Alkerton,Oxon,52.0834,-1.4545,2015,22-Oct,313,13.63
Alkerton,Oxon,52.0834,-1.4545,2016,15-Oct,305,9.59
ANNAN,DUMF,54.9902,-3.2598,2002,10-Jan,0,0
Anstruth,Fife,56.223,-2.7005,2013,30-Oct,0,7.63
ASHF'D,KENT,51.1465,0.875,2002,10-Jan,0,0
Attlebro,Norfk,52.5181,1.0155,2006,10-Jan,0,0
Attlebro,Norfk,52.5181,1.0155,2008,10-Jan,0,0
Attlebro,Norfk,52.5181,1.0155,2012,10-Jan,281,9.71
Auchnagatt,Aberdn,57.466,-2.117,2014,28-Sep,339,11.01
Auchnagatt,Aberdn,57.466,-2.117,2015,24-Sep,360,9.8
Auchnagatt,Aberdn,57.466,-2.117,2016,29-Sep,350,9.65
Balgonie,Fife,56.1843,-3.1244,2012,10-Jan,345,7.32
Balgonie,Fife,56.1843,-3.1244,2013,15-Oct,318,10.49
Balgonie,Fife,56.1843,-3.1244,2015,27-Sep,346,12.01
Balgonie,Fife,56.1843,-3.1244,2016,27-Nov,335,10.66
Balgonie,Fife,56.1843,-3.1244,2017,10-Jan,333,11.98
Bannister,Essex,51.8599,0.4633,2010,10-Sep,0,0
Barnston,Essex,51.8533,0.3865,2004,10-Jan,0,0
Barnston,Essex,51.8533,0.3865,2005,10-Jan,0,0
Barnston,Essex,51.8533,0.3865,2007,10-Jan,0,0
Barnston,Essex,51.8533,0.3865,2015,10-Oct,286,10.05
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10-Jan,0,0
Barthorpe,NYorks,54.0264,-0.8172,2011,27-Sep,0,0
Barthorpe,NYorks,54.0264,-0.8172,2012,10-Jan,321,10.28
Barthorpe,NYorks,54.0264,-0.8172,2014,10-Jan,308,10.7
Barthorpe,NYorks,54.0264,-0.8172,2015,27-Sep,0,11.5
Baumber,Lincolnshire,53.2523,-0.1713,2005,10-Jan,0,0
Baumber,Lincs,53.2523,-0.1713,2006,10-Jan,0,0
Baumber,Lincs,53.2523,-0.1713,2008,21-Oct,0,0
Baumber,Lincs,53.2523,-0.1713,2009,21-Oct,0,0
Baumber,Lincs,53.2523,-0.1713,2017,27-Oct,0,10.23
Beausale,Warwick,52.3342,-1.6477,2007,10-Jan,0,0
Beausale,Warwick,52.3342,-1.6477,2008,13-Oct,0,0
Beausale,Warwick,52.3342,-1.6477,2009,13-Oct,0,0
Bedfield,Sufflk,52.2532,1.2502,2014,30-Sep,298,13.99
Bedfield,Sufflk,52.2532,1.2502,2015,27-Sep,309,13.46
Bedfield,Sufflk,52.2532,1.2502,2016,28-Sep,0,11.81
Bedfield,Sufflk,52.2532,1.2502,2017,28-Sep,0,11.41
Binbrook,NLincs,53.429,-0.1807,2008,10-Jan,0,0
Bowsden,Northumberland,55.6729,-2.0135,2004,10-Jan,0,0
Bowsden,Northumberland,55.6729,-2.0135,2005,10-Jan,0,0
Bowsden,Nrthum,55.6729,-2.0135,2006,10-Jan,0,0
Bowsdn,Nrthum,55.6729,-2.0135,2007,10-Jan,0,0
Bowsdn,Nrthum,55.6729,-2.0135,2008,10-Jan,0,0
Bramham,West Yorkshire,53.8785,-1.3504,2004,10-Jan,0,0
Brechin,Angus,56.7333,-2.6553,2016,25-Sep,343,9.68
Brechin,Angus,56.7333,-2.6553,2017,28-Sep,339,8.79
Broughtn,Hants,53.1635,-2.9972,2012,10-Jan,0,10.35
Broughtn,Hants,53.1635,-2.9972,2014,24-Oct,0,12.75
Broughtn,Hants,53.1635,-2.9972,2015,22-Oct,0,12.8
Broughtn,Hants,53.1635,-2.9972,2017,10-Nov,0,12.36
Bstoke,Hants,51.2665,-1.0924,2012,10-Jan,0,7.49
Bugthorpe,Nyorks,54.0116,-0.8236,2008,10-Jan,0,0
Bugthorpe,NYorks,54.0116,-0.8236,2010,29-Sep,0,0
Burdon,Sundland,54.8568,-1.3988,2017,25-Sep,321,10.11
Burkham,Hants,51.1769,-1.0711,2014,10-Nov,0,11.21
Burkham,Hants,51.1769,-1.0711,2016,16-Oct,0,9.21
BuryStE,Sufflk,52.2429,0.7105,2006,10-Jan,0,0
BuryStE,Sufflk,52.2429,0.7105,2008,10-Jan,0,0
Callow,Herefd,52.0051,-2.7385,2017,23-Sep,314,12.3
Cambridge,Cambs.,52.2053,0.1218,2003,10-Jan,0,0
Canterbury,Kent,51.2802,1.0789,2003,10-Jan,0,0
Cawood,North Yorkshire,53.8333,-1.1316,2015,10-Mar,315,17.13
Cawood,NYorks,53.8333,-1.1316,2016,10-Jan,307,13.64
Cawood,NYorks,53.8333,-1.1316,2017,30-Sep,0,12.19
Caythorpe,Lincolnshire,53.0216,-0.6046,2004,10-Jan,0,0
Caythorpe,Lincolnshire,53.0216,-0.6046,2005,10-Jan,0,0
Ccreevy,Down,53.79448,-6.076,2007,10-Jan,0,0
Ccreevy,Down,53.79448,-6.076,2010,10-Aug,0,0
Ccreevy,Down,53.79448,-6.076,2012,10-Jan,0,0
Ccreevy,Down,53.79448,-6.076,2014,15-Oct,0,10.15
CIRENC,GLOS,51.7185,-1.9682,2002,10-Jan,0,0
Cirencester,Glos.,51.7185,-1.9682,2003,10-Jan,0,0
Coates,Gloucestershire,52.5613,-2.0325,2004,10-Jan,0,0
