Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10/1,,
Alkerton,Oxon,52.0834,-1.4545,2013,10/9,324,7.85
Alkerton,Oxon,52.0834,-1.4545,2014,10/8,311,13.04
Alkerton,Oxon,52.0834,-1.4545,2015,22/10,310,11.5
Alkerton,Oxon,52.0834,-1.4545,2016,15/10,301,10.55
ANNAN,DUMF,54.9902,-3.2598,2002,10/1,,
Anstruth,Fife,56.223,-2.7005,2013,30/10,,6.19
ASHF'D,KENT,51.1465,0.875,2002,10/1,,
Attlebro,Norfk,52.5181,1.0155,2006,10/1,,
Attlebro,Norfk,52.5181,1.0155,2008,10/1,,12.71
Attlebro,Norfk,52.5181,1.0155,2012,10/1,284,10.06
Auchnagatt,Aberdn,57.466,-2.117,2014,28/9,336,10.5
Auchnagatt,Aberdn,57.466,-2.117,2015,24/9,358,6.13
Auchnagatt,Aberdn,57.466,-2.117,2016,29/9,,
Balgonie,Fife,56.1843,-3.1244,2012,10/1,344,5.73
Balgonie,Fife,56.1843,-3.1244,2013,15/10,316,7.92
Balgonie,Fife,56.1843,-3.1244,2015,27/9,342,11.18
Balgonie,Fife,56.1843,-3.1244,2016,27/11,,
Balgonie,Fife,56.1843,-3.1244,2017,10/1,,
Bannister,Essex,51.8599,0.4633,2010,10/9,,8.84
Barnston,Essex,51.8533,0.3865,2004,10/1,,
Barnston,Essex,51.8533,0.3865,2005,10/1,,
Barnston,Essex,51.8533,0.3865,2007,10/1,,
Barnston,Essex,51.8533,0.3865,2015,10/10,283,10.6
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10/1,,
Barthorpe,NYorks,54.0264,-0.8172,2011,27/9,,9.95
Barthorpe,NYorks,54.0264,-0.8172,2012,10/1,320,10.44
Barthorpe,NYorks,54.0264,-0.8172,2014,10/1,304,10.74
Barthorpe,NYorks,54.0264,-0.8172,2015,27/9,,11
Baumber,Lincolnshire,53.2523,-0.1713,2005,10/1,,
Baumber,Lincs,53.2523,-0.1713,2006,10/1,,
Baumber,Lincs,53.2523,-0.1713,2008,21/10,,12.82
Baumber,Lincs,53.2523,-0.1713,2009,21/10,,7.12
Baumber,Lincs,53.2523,-0.1713,2017,27/10,,
Beausale,Warwick,52.3342,-1.6477,2007,10/1,,
Beausale,Warwick,52.3342,-1.6477,2008,13/10,,8.28
Beausale,Warwick,52.3342,-1.6477,2009,13/10,303,10.73
Bedfield,Sufflk,52.2532,1.2502,2014,30/9,297,12.93
Bedfield,Sufflk,52.2532,1.2502,2015,27/9,309,13.18
Bedfield,Sufflk,52.2532,1.2502,2016,28/9,,
Bedfield,Sufflk,52.2532,1.2502,2017,28/9,,
Binbrook,NLincs,53.429,-0.1807,2008,10/1,321,12.1
Bowsden,Northumberland,55.6729,-2.0135,2004,10/1,,
Bowsden,Northumberland,55.6729,-2.0135,2005,10/1,,
Bowsden,Nrthum,55.6729,-2.0135,2006,10/1,,
Bowsdn,Nrthum,55.6729,-2.0135,2007,10/1,,
Bowsdn,Nrthum,55.6729,-2.0135,2008,10/1,311,11.88
Bramham,West Yorkshire,53.8785,-1.3504,2004,10/1,,
Brechin,Angus,56.7333,-2.6553,2016,25/9,,
Brechin,Angus,56.7333,-2.6553,2017,28/9,,
Broughtn,Hants,53.1635,-2.9972,2012,10/1,,9.76
Broughtn,Hants,53.1635,-2.9972,2014,24/10,,11.38
Broughtn,Hants,53.1635,-2.9972,2015,22/10,,11.74
Broughtn,Hants,53.1635,-2.9972,2017,10/11,,
Bstoke,Hants,51.2665,-1.0924,2012,10/1,,8.92
Bugthorpe,Nyorks,54.0116,-0.8236,2008,10/1,303,9.53
Bugthorpe,NYorks,54.0116,-0.8236,2010,29/9,,6.48
Burdon,Sundland,54.8568,-1.3988,2017,25/9,,
Burkham,Hants,51.1769,-1.0711,2014,10/11,,10.85
Burkham,Hants,51.1769,-1.0711,2016,16/10,,
BuryStE,Sufflk,52.2429,0.7105,2006,10/1,,
BuryStE,Sufflk,52.2429,0.7105,2008,10/1,290,8.05
C'thorpe,Lincs,53.0216,-0.6046,2006,10/1,,
Callow,Herefd,52.0051,-2.7385,2017,23/9,,
Cambridge,Cambs.,52.2053,0.1218,2003,10/1,,
Canterbury,Kent,51.2802,1.0789,2003,10/1,,
Cawood,North Yorkshire,53.8333,-1.1316,2015,10/3,312,17.92
Cawood,NYorks,53.8333,-1.1316,2016,10/1,,
Cawood,NYorks,53.8333,-1.1316,2017,30/9,,
Caythorpe,Lincolnshire,53.0216,-0.6046,2004,10/1,,
Caythorpe,Lincolnshire,53.0216,-0.6046,2005,10/1,,
Ccreevy,Down,53.79448,-6.076,2007,10/1,,
Ccreevy,Down,53.79448,-6.076,2010,10/8,324,10.81
Ccreevy,Down,53.79448,-6.076,2012,10/1,,7.12
Ccreevy,Down,53.79448,-6.076,2014,15/10,,9.39
CIRENC,GLOS,51.7185,-1.9682,2002,10/1,,
Cirencester,Glos.,51.7185,-1.9682,2003,10/1,,
Coates,Gloucestershire,52.5613,-2.0325,2004,10/1,,
Coates,Gloucs,52.5613,-2.0325,2017,14/10,,
COLDSM,BORD,55.6513,-2.2534,2002,10/1,,
Coniston,E Riding of Yorkshire,54.3432,-3.0716,2004,10/1,,
COUPAR,P KINR,56.5479,-3.2655,2002,10/1,,
Coupar Angus,Perth/Kinr.,56.5479,-3.2655,2003,10/1,,
Cowbridge,Glamorgan,51.4621,-3.4496,2017,10/7,,
Crambe,Nyorks,54.0746,-0.8814,2006,10/1,,
Crambe,Nyorks,54.0746,-0.8814,2007,10/1,,
Cranwell,Lincs,53.036,-0.4677,2007,10/1,,
Crawly,Hants,51.1091,-1.3898,2010,10/3,291,9.94
Crawly,Hants,51.1091,-1.3898,2011,27/9,,9.2
CROFT,N YRKS,54.4835,-1.5551,2002,10/1,,
Croft,NYorks,54.4835,-1.5551,2009,10/2,321,10.1
Croft,NYorks,54.4835,-1.5551,2010,23/9,329,10.06
Croft,Teesside,54.4835,-1.5551,2011,27/9,317,13.31
Croft,Teesside,54.4835,-1.5551,2012,10/1,331,8.36
Croft,Teesside,54.4835,-1.5551,2013,10/6,,9.06
Croft,Teesside,54.4835,-1.5551,2014,27/9,317,12.02
Croft,Teesside,54.4835,-1.5551,2015,25/9,332,14.26
Croft,NYorks,54.4835,-1.5551,2017,24/9,,
Croft on Tees,N Yorks.,54.4835,-1.5551,2003,10/1,,
Croft on Tees,North Yorkshire,54.4835,-1.5551,2004,10/1,,
Deopham,Norfk,52.5593,1.0225,2017,27/9,,
Didbrook,Gloucestershire,51.982,-1.9244,2005,10/1,,
Didbrook,Gloucs,51.982,-1.9244,2007,10/1,,
Didbrook,Gloucs,51.982,-1.9244,2008,10/3,,11.46
Didbrook,Gloucs,51.982,-1.9244,2009,10/3,,8.42
Didbrook,Gloucs,51.982,-1.9244,2010,13/10,,4.37
Didbrook,Gloucs,51.982,-1.9244,2011,10/12,298,9.75
Didbrook,Gloucs,51.982,-1.9244,2012,10/1,,9.37
Didbrook,Gloucs,51.982,-1.9244,2016,30/9,,
DownP,Down,54.3288,-5.7157,2007,10/1,,
DownP,Down,54.3288,-5.7157,2008,10/1,,10.72
DownP,Down,54.3288,-5.7157,2011,19/10,,7.72
Duggleby,North Yorkshire,54.0928,-0.6573,2004,10/1,,
DUNMOW,ESSEX,51.8729,0.3578,2002,10/1,,
Dunmow,Essex,51.8729,0.3578,2006,10/1,,
Dunmow,Essex,51.8729,0.3578,2011,10/7,,8.7
Dunmow,Essex,51.8729,0.3578,2012,10/1,,10.83
Duns,Sc. Bord.,55.7778,-2.3435,2003,10/1,,
Dyce,Aberdn,57.2035,-2.1902,2008,10/9,337,12.74
Dyce,Aberdn,57.2035,-2.1902,2009,10/9,330,8.23
East Mllng,Kent,51.2885,0.4383,2017,10/12,,
Edgmond,Shrops,52.77,-2.4104,2010,10/8,,15.84
Edgmond,Shrops,52.77,-2.4104,2013,26/10,302,8.93
Edgmond,Shrops,52.77,-2.4104,2017,10/12,,
EDINB,LOTH'N,55.9533,-3.1883,2002,10/1,,
Elgin,Moray,57.6495,-3.3185,2003,10/1,,
Elgin,Moray,57.6495,-3.3185,2004,10/1,,
Elgin,Moray,57.6495,-3.3185,2005,10/1,,
Elgin,Moray,57.6495,-3.3185,2006,10/1,,
Elgin,Moray,57.6495,-3.3185,2017,20/10,,
Elie,Fife,52.3995,-0.2624,2014,10/10,,10.37
Elie,Fife,52.3995,-0.2624,2015,13/10,,12
Elie,Fife,52.3995,-0.2624,2016,14/10,,
Ellon,Aberdn,57.3646,-2.073,2010,29/9,339,12.04
Ellon,Aberdn,57.3646,-2.073,2011,13/10,335,7.86
Ellon,Aberdn,57.3646,-2.073,2012,10/1,340,5.66
Ellon,Aberdn,57.3646,-2.073,2013,10/10,327,7.04
Elmswell,Sufflk,52.237,0.9125,2011,22/10,,5.91
Elmswell,Sufflk,52.237,0.9125,2012,10/1,,10.6
Elmswell,East Yorks ,54.0175,-0.4814,2015,29/9,331,12.21
Elmswell,Sufflk,52.237,0.9125,2015,10/3,,8.06
Elmswell,EYorks,54.0175,-0.4814,2016,29/9,,
Elmswell,Sufflk,52.237,0.9125,2016,10/8,,
Errol,Prth&K,56.3919,-3.2127,2009,28/9,,8.66
Errol,Prth&K,56.3919,-3.2127,2010,27/9,,7.37
Errol,Prth&K,56.3919,-3.2127,2011,13/10,,10.32
Eyton upon the Weald Moors,Shropshire,52.73,-2.5191,2004,10/1,,
FAKEN,NORF,52.8313,0.8493,2002,10/1,,
Fakenham,Norf.,52.8313,0.8493,2003,10/1,,
Framling,Sufflk,52.2221,1.3421,2006,10/1,,
Framling,Sufflk,52.2221,1.3421,2007,10/1,,
Framling,Sufflk,52.2221,1.3421,2008,10/2,,12.58
Framling,Sufflk,52.2221,1.3421,2009,10/2,293,12.79
Framling,Sufflk,52.2221,1.3421,2010,10/9,287,8.84
Framling,Sufflk,52.2221,1.3421,2011,14/10,287,9.64
Framling,Sufflk,52.2221,1.3421,2012,10/1,315,12.79
Framling,Sufflk,52.2221,1.3421,2013,16/10,,10.51
Framlingham,Suffolk,52.2221,1.3421,2003,10/1,,
Framlingham,Suffolk,52.2221,1.3421,2004,10/1,,
Framlingham,Suffolk,52.2221,1.3421,2005,10/1,,
Fridaythorpe,NYorks,54.0203,-0.6659,2017,10/4,,
Frisby,Leics,52.7525,-0.9713,2006,10/1,,
Frisby,Leics,52.7525,-0.9713,2007,10/1,,
Frisby,Leics,52.7525,-0.9713,2008,10/1,,13.06
Frisby,Leics,52.7525,-0.9713,2010,28/9,298,10.77
Frisby,Leics,52.7525,-0.9713,2011,10/12,,11.6
Frisby,Leics,52.7525,-0.9713,2012,10/1,,6.4
Frisby,Leics,52.7525,-0.9713,2013,10/9,,11.43
Frisby,Leics,52.7525,-0.9713,2014,10/5,291,13.42
Frisby,Leics,52.7525,-0.9713,2015,10/1,304,14.08
