Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10/1,,
Alkerton,Oxon,52.0834,-1.4545,2013,10/9,323,9.3
Alkerton,Oxon,52.0834,-1.4545,2014,10/8,312,15.71
Alkerton,Oxon,52.0834,-1.4545,2015,22/10,311,12.48
Alkerton,Oxon,52.0834,-1.4545,2016,15/10,305,10.3
ANNAN,DUMF,54.9902,-3.2598,2002,10/1,,
Anstruth,Fife,56.223,-2.7005,2013,30/10,,6.71
ASHF'D,KENT,51.1465,0.875,2002,10/1,,
Attlebro,Norfk,52.5181,1.0155,2006,10/1,,
Attlebro,Norfk,52.5181,1.0155,2008,10/1,,13.55
Attlebro,Norfk,52.5181,1.0155,2012,10/1,283,9.33
Auchnagatt,Aberdn,57.466,-2.117,2014,28/9,339,11.2
Auchnagatt,Aberdn,57.466,-2.117,2015,24/9,358,10.04
Auchnagatt,Aberdn,57.466,-2.117,2016,29/9,351,9.73
Balgonie,Fife,56.1843,-3.1244,2012,10/1,345,6.96
Balgonie,Fife,56.1843,-3.1244,2013,15/10,319,9.44
Balgonie,Fife,56.1843,-3.1244,2015,27/9,344,11.87
Balgonie,Fife,56.1843,-3.1244,2016,27/11,335,10.42
Balgonie,Fife,56.1843,-3.1244,2017,10/1,332,12.26
Bannister,Essex,51.8599,0.4633,2010,10/9,,9.18
Barnston,Essex,51.8533,0.3865,2004,10/1,,
Barnston,Essex,51.8533,0.3865,2005,10/1,,
Barnston,Essex,51.8533,0.3865,2007,10/1,,12.21
Barnston,Essex,51.8533,0.3865,2015,10/10,286,9.97
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10/1,,
Barthorpe,NYorks,54.0264,-0.8172,2011,27/9,,
Barthorpe,NYorks,54.0264,-0.8172,2012,10/1,320,9.98
Barthorpe,NYorks,54.0264,-0.8172,2014,10/1,306,10.89
Barthorpe,NYorks,54.0264,-0.8172,2015,27/9,,11.94
Baumber,Lincolnshire,53.2523,-0.1713,2005,10/1,,
Baumber,Lincs,53.2523,-0.1713,2006,10/1,,
Baumber,Lincs,53.2523,-0.1713,2008,21/10,,13.13
Baumber,Lincs,53.2523,-0.1713,2009,21/10,,7.43
Baumber,Lincs,53.2523,-0.1713,2017,27/10,,10.23
Beausale,Warwick,52.3342,-1.6477,2007,10/1,,11.01
Beausale,Warwick,52.3342,-1.6477,2008,13/10,,10.39
Beausale,Warwick,52.3342,-1.6477,2009,13/10,304,11.12
Bedfield,Sufflk,52.2532,1.2502,2014,30/9,297,13.74
Bedfield,Sufflk,52.2532,1.2502,2015,27/9,309,13.16
Bedfield,Sufflk,52.2532,1.2502,2016,28/9,,11.08
Bedfield,Sufflk,52.2532,1.2502,2017,28/9,,12.14
Binbrook,NLincs,53.429,-0.1807,2008,10/1,324,12.16
Bowsden,Northumberland,55.6729,-2.0135,2004,10/1,,
Bowsden,Northumberland,55.6729,-2.0135,2005,10/1,,
Bowsden,Nrthum,55.6729,-2.0135,2006,10/1,,
Bowsdn,Nrthum,55.6729,-2.0135,2007,10/1,324,9.8
Bowsdn,Nrthum,55.6729,-2.0135,2008,10/1,312,9.18
Bramham,West Yorkshire,53.8785,-1.3504,2004,10/1,,
Brechin,Angus,56.7333,-2.6553,2016,25/9,340,9.26
Brechin,Angus,56.7333,-2.6553,2017,28/9,339,8.22
Broughtn,Hants,53.1635,-2.9972,2012,10/1,,9.49
Broughtn,Hants,53.1635,-2.9972,2014,24/10,,12.5
Broughtn,Hants,53.1635,-2.9972,2015,22/10,,12.58
Broughtn,Hants,53.1635,-2.9972,2017,10/11,,12.42
Bstoke,Hants,51.2665,-1.0924,2012,10/1,,7.95
Bugthorpe,Nyorks,54.0116,-0.8236,2008,10/1,311,10.55
Bugthorpe,NYorks,54.0116,-0.8236,2010,29/9,,7.22
Burdon,Sundland,54.8568,-1.3988,2017,25/9,322,10.07
Burkham,Hants,51.1769,-1.0711,2014,10/11,,11.24
Burkham,Hants,51.1769,-1.0711,2016,16/10,,9.76
BuryStE,Sufflk,52.2429,0.7105,2006,10/1,,
BuryStE,Sufflk,52.2429,0.7105,2008,10/1,292,9.79
C'thorpe,Lincs,53.0216,-0.6046,2006,10/1,,
Callow,Herefd,52.0051,-2.7385,2017,23/9,313,12.17
Cambridge,Cambs.,52.2053,0.1218,2003,10/1,,
Canterbury,Kent,51.2802,1.0789,2003,10/1,,
Cawood,North Yorkshire,53.8333,-1.1316,2015,10/3,315,17.69
Cawood,NYorks,53.8333,-1.1316,2016,10/1,307,13.92
Cawood,NYorks,53.8333,-1.1316,2017,30/9,,12.11
Caythorpe,Lincolnshire,53.0216,-0.6046,2004,10/1,,
Caythorpe,Lincolnshire,53.0216,-0.6046,2005,10/1,,
Ccreevy,Down,53.79448,-6.076,2007,10/1,315,10.42
Ccreevy,Down,53.79448,-6.076,2010,10/8,324,11.47
Ccreevy,Down,53.79448,-6.076,2012,10/1,,6.92
Ccreevy,Down,53.79448,-6.076,2014,15/10,,10.64
CIRENC,GLOS,51.7185,-1.9682,2002,10/1,,
Cirencester,Glos.,51.7185,-1.9682,2003,10/1,,
Coates,Gloucestershire,52.5613,-2.0325,2004,10/1,,
Coates,Gloucs,52.5613,-2.0325,2017,14/10,,8.92
COLDSM,BORD,55.6513,-2.2534,2002,10/1,,
Coniston,E Riding of Yorkshire,54.3432,-3.0716,2004,10/1,,
COUPAR,P KINR,56.5479,-3.2655,2002,10/1,,
Coupar Angus,Perth/Kinr.,56.5479,-3.2655,2003,10/1,,
Cowbridge,Glamorgan,51.4621,-3.4496,2017,10/7,297,11.77
Crambe,Nyorks,54.0746,-0.8814,2006,10/1,,
Crambe,Nyorks,54.0746,-0.8814,2007,10/1,316,10.23
Cranwell,Lincs,53.036,-0.4677,2007,10/1,,9.42
Crawly,Hants,51.1091,-1.3898,2010,10/3,296,11.31
Crawly,Hants,51.1091,-1.3898,2011,27/9,,10.35
CROFT,N YRKS,54.4835,-1.5551,2002,10/1,,
Croft,NYorks,54.4835,-1.5551,2009,10/2,323,11.08
Croft,NYorks,54.4835,-1.5551,2010,23/9,328,11.11
Croft,Teesside,54.4835,-1.5551,2011,27/9,321,13.12
Croft,Teesside,54.4835,-1.5551,2012,10/1,331,8.65
Croft,Teesside,54.4835,-1.5551,2013,10/6,,8.75
Croft,Teesside,54.4835,-1.5551,2014,27/9,316,12.98
Croft,Teesside,54.4835,-1.5551,2015,25/9,332,14.57
Croft,NYorks,54.4835,-1.5551,2017,24/9,325,12.77
Croft on Tees,N Yorks.,54.4835,-1.5551,2003,10/1,,
Croft on Tees,North Yorkshire,54.4835,-1.5551,2004,10/1,,
Deopham,Norfk,52.5593,1.0225,2017,27/9,304,11.14
Didbrook,Gloucestershire,51.982,-1.9244,2005,10/1,,
Didbrook,Gloucs,51.982,-1.9244,2007,10/1,,10.4
Didbrook,Gloucs,51.982,-1.9244,2008,10/3,,12.83
Didbrook,Gloucs,51.982,-1.9244,2009,10/3,,9.88
Didbrook,Gloucs,51.982,-1.9244,2010,13/10,,4.7
Didbrook,Gloucs,51.982,-1.9244,2011,10/12,301,10.2
Didbrook,Gloucs,51.982,-1.9244,2012,10/1,,8.84
Didbrook,Gloucs,51.982,-1.9244,2016,30/9,,11.65
DownP,Down,54.3288,-5.7157,2007,10/1,,8.62
DownP,Down,54.3288,-5.7157,2008,10/1,,10.73
DownP,Down,54.3288,-5.7157,2011,19/10,,8.78
Duggleby,North Yorkshire,54.0928,-0.6573,2004,10/1,,
DUNMOW,ESSEX,51.8729,0.3578,2002,10/1,,
Dunmow,Essex,51.8729,0.3578,2006,10/1,,
Dunmow,Essex,51.8729,0.3578,2011,10/7,,9.26
Dunmow,Essex,51.8729,0.3578,2012,10/1,,11.79
Duns,Sc. Bord.,55.7778,-2.3435,2003,10/1,,
Dyce,Aberdn,57.2035,-2.1902,2008,10/9,338,12.87
Dyce,Aberdn,57.2035,-2.1902,2009,10/9,332,10.53
East Mllng,Kent,51.2885,0.4383,2017,10/12,272,9.53
Edgmond,Shrops,52.77,-2.4104,2010,10/8,,15.88
Edgmond,Shrops,52.77,-2.4104,2013,26/10,302,9.68
Edgmond,Shrops,52.77,-2.4104,2017,10/12,289,8.61
EDINB,LOTH'N,55.9533,-3.1883,2002,10/1,,
Elgin,Moray,57.6495,-3.3185,2003,10/1,,
Elgin,Moray,57.6495,-3.3185,2004,10/1,,
Elgin,Moray,57.6495,-3.3185,2005,10/1,,
Elgin,Moray,57.6495,-3.3185,2006,10/1,,
Elgin,Moray,57.6495,-3.3185,2017,20/10,313,11.34
Elie,Fife,52.3995,-0.2624,2014,10/10,,11.46
Elie,Fife,52.3995,-0.2624,2015,13/10,,11.91
Elie,Fife,52.3995,-0.2624,2016,14/10,,10.73
Ellon,Aberdn,57.3646,-2.073,2010,29/9,343,12.95
Ellon,Aberdn,57.3646,-2.073,2011,13/10,336,8.01
Ellon,Aberdn,57.3646,-2.073,2012,10/1,342,6.52
Ellon,Aberdn,57.3646,-2.073,2013,10/10,328,8.05
Elmswell,Sufflk,52.237,0.9125,2011,22/10,,7
Elmswell,Sufflk,52.237,0.9125,2012,10/1,,11
Elmswell,East Yorks ,54.0175,-0.4814,2015,29/9,331,13.84
Elmswell,Sufflk,52.237,0.9125,2015,10/3,,9.01
Elmswell,EYorks,54.0175,-0.4814,2016,29/9,317,11.34
Elmswell,Sufflk,52.237,0.9125,2016,10/8,,8.48
Errol,Prth&K,56.3919,-3.2127,2009,28/9,,9.29
Errol,Prth&K,56.3919,-3.2127,2010,27/9,,8.32
Errol,Prth&K,56.3919,-3.2127,2011,13/10,,10.67
Eyton upon the Weald Moors,Shropshire,52.73,-2.5191,2004,10/1,,
FAKEN,NORF,52.8313,0.8493,2002,10/1,,
Fakenham,Norf.,52.8313,0.8493,2003,10/1,,
Framling,Sufflk,52.2221,1.3421,2006,10/1,,
Framling,Sufflk,52.2221,1.3421,2007,10/1,,10.6
Framling,Sufflk,52.2221,1.3421,2008,10/2,,13.37
Framling,Sufflk,52.2221,1.3421,2009,10/2,294,13.47
Framling,Sufflk,52.2221,1.3421,2010,10/9,288,9.42
Framling,Sufflk,52.2221,1.3421,2011,14/10,,
Framling,Sufflk,52.2221,1.3421,2012,10/1,319,12.57
Framling,Sufflk,52.2221,1.3421,2013,16/10,,10.54
Framlingham,Suffolk,52.2221,1.3421,2003,10/1,,
