Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10/1,,
Alkerton,Oxon,52.0834,-1.4545,2013,10/9,323,10.33
Alkerton,Oxon,52.0834,-1.4545,2014,10/8,312,14.78
Alkerton,Oxon,52.0834,-1.4545,2015,22/10,311,12.95
Alkerton,Oxon,52.0834,-1.4545,2016,15/10,302,9.97
ANNAN,DUMF,54.9902,-3.2598,2002,10/1,,
Anstruth,Fife,56.223,-2.7005,2013,30/10,,7.67
ASHF'D,KENT,51.1465,0.875,2002,10/1,,
Attlebro,Norfk,52.5181,1.0155,2006,10/1,,
Attlebro,Norfk,52.5181,1.0155,2008,10/1,,
Attlebro,Norfk,52.5181,1.0155,2012,10/1,,
Auchnagatt,Aberdn,57.466,-2.117,2014,28/9,338,10.68
Auchnagatt,Aberdn,57.466,-2.117,2015,24/9,360,9.86
Auchnagatt,Aberdn,57.466,-2.117,2016,29/9,351,9.03
Balgonie,Fife,56.1843,-3.1244,2012,10/1,,
Balgonie,Fife,56.1843,-3.1244,2013,15/10,316,9.64
Balgonie,Fife,56.1843,-3.1244,2015,27/9,343,11.34
Balgonie,Fife,56.1843,-3.1244,2016,27/11,335,10.1
Balgonie,Fife,56.1843,-3.1244,2017,10/1,333,11.51
Bannister,Essex,51.8599,0.4633,2010,10/9,,
Barnston,Essex,51.8533,0.3865,2004,10/1,,
Barnston,Essex,51.8533,0.3865,2005,10/1,,
Barnston,Essex,51.8533,0.3865,2007,10/1,,
Barnston,Essex,51.8533,0.3865,2015,10/10,287,10.78
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10/1,,
Barthorpe,NYorks,54.0264,-0.8172,2011,27/9,,
Barthorpe,NYorks,54.0264,-0.8172,2012,10/1,,
Barthorpe,NYorks,54.0264,-0.8172,2014,10/1,310,11.76
Barthorpe,NYorks,54.0264,-0.8172,2015,27/9,,12
Baumber,Lincolnshire,53.2523,-0.1713,2005,10/1,,
Baumber,Lincs,53.2523,-0.1713,2006,10/1,,
Baumber,Lincs,53.2523,-0.1713,2008,21/10,,
Baumber,Lincs,53.2523,-0.1713,2009,21/10,,
Baumber,Lincs,53.2523,-0.1713,2017,27/10,,10.58
Beausale,Warwick,52.3342,-1.6477,2007,10/1,,
Beausale,Warwick,52.3342,-1.6477,2008,13/10,,
Beausale,Warwick,52.3342,-1.6477,2009,13/10,,
Bedfield,Sufflk,52.2532,1.2502,2014,30/9,299,13.42
Bedfield,Sufflk,52.2532,1.2502,2015,27/9,310,13.08
Bedfield,Sufflk,52.2532,1.2502,2016,28/9,,11.24
Bedfield,Sufflk,52.2532,1.2502,2017,28/9,,11.82
Binbrook,NLincs,53.429,-0.1807,2008,10/1,,
Bowsden,Northumberland,55.6729,-2.0135,2004,10/1,,
Bowsden,Northumberland,55.6729,-2.0135,2005,10/1,,
Bowsden,Nrthum,55.6729,-2.0135,2006,10/1,,
Bowsdn,Nrthum,55.6729,-2.0135,2007,10/1,,
Bowsdn,Nrthum,55.6729,-2.0135,2008,10/1,,
Bramham,West Yorkshire,53.8785,-1.3504,2004,10/1,,
Brechin,Angus,56.7333,-2.6553,2016,25/9,342,9.76
Brechin,Angus,56.7333,-2.6553,2017,28/9,339,8.22
Broughtn,Hants,53.1635,-2.9972,2012,10/1,,
Broughtn,Hants,53.1635,-2.9972,2014,24/10,,12.77
Broughtn,Hants,53.1635,-2.9972,2015,22/10,,12.08
Broughtn,Hants,53.1635,-2.9972,2017,10/11,,11.78
Bstoke,Hants,51.2665,-1.0924,2012,10/1,,
Bugthorpe,Nyorks,54.0116,-0.8236,2008,10/1,,
Bugthorpe,NYorks,54.0116,-0.8236,2010,29/9,,
Burdon,Sundland,54.8568,-1.3988,2017,25/9,320,9.97
Burkham,Hants,51.1769,-1.0711,2014,10/11,,11.58
Burkham,Hants,51.1769,-1.0711,2016,16/10,,9.79
BuryStE,Sufflk,52.2429,0.7105,2006,10/1,,
BuryStE,Sufflk,52.2429,0.7105,2008,10/1,,
C'thorpe,Lincs,53.0216,-0.6046,2006,10/1,,
Callow,Herefd,52.0051,-2.7385,2017,23/9,316,12.12
Cambridge,Cambs.,52.2053,0.1218,2003,10/1,,
Canterbury,Kent,51.2802,1.0789,2003,10/1,,
Cawood,North Yorkshire,53.8333,-1.1316,2015,10/3,312,17.66
Cawood,NYorks,53.8333,-1.1316,2016,10/1,310,12.74
Cawood,NYorks,53.8333,-1.1316,2017,30/9,,11.67
Caythorpe,Lincolnshire,53.0216,-0.6046,2004,10/1,,
Caythorpe,Lincolnshire,53.0216,-0.6046,2005,10/1,,
Ccreevy,Down,53.79448,-6.076,2007,10/1,,
Ccreevy,Down,53.79448,-6.076,2010,10/8,,
Ccreevy,Down,53.79448,-6.076,2012,10/1,,
Ccreevy,Down,53.79448,-6.076,2014,15/10,,10.1
CIRENC,GLOS,51.7185,-1.9682,2002,10/1,,
Cirencester,Glos.,51.7185,-1.9682,2003,10/1,,
Coates,Gloucestershire,52.5613,-2.0325,2004,10/1,,
Coates,Gloucs,52.5613,-2.0325,2017,14/10,,9.28
COLDSM,BORD,55.6513,-2.2534,2002,10/1,,
Coniston,E Riding of Yorkshire,54.3432,-3.0716,2004,10/1,,
COUPAR,P KINR,56.5479,-3.2655,2002,10/1,,
Coupar Angus,Perth/Kinr.,56.5479,-3.2655,2003,10/1,,
Cowbridge,Glamorgan,51.4621,-3.4496,2017,10/7,298,11.8
Crambe,Nyorks,54.0746,-0.8814,2006,10/1,,
Crambe,Nyorks,54.0746,-0.8814,2007,10/1,,
Cranwell,Lincs,53.036,-0.4677,2007,10/1,,
Crawly,Hants,51.1091,-1.3898,2010,10/3,,
Crawly,Hants,51.1091,-1.3898,2011,27/9,,
CROFT,N YRKS,54.4835,-1.5551,2002,10/1,,
Croft,NYorks,54.4835,-1.5551,2009,10/2,,
Croft,NYorks,54.4835,-1.5551,2010,23/9,,
Croft,NYorks,54.4835,-1.5551,2017,24/9,326,12.37
Croft,Teesside,54.4835,-1.5551,2011,27/9,,
Croft,Teesside,54.4835,-1.5551,2012,10/1,,
Croft,Teesside,54.4835,-1.5551,2013,10/6,,8.92
