Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Aberdeen,Aber.,57.1497,-2.0943,2003,10/1,327.7,8.86
Alkerton,Oxon,52.0834,-1.4545,2013,10/9,323,9.27
Alkerton,Oxon,52.0834,-1.4545,2014,10/8,311,12.81
Alkerton,Oxon,52.0834,-1.4545,2015,22/10,310,11.74
Alkerton,Oxon,52.0834,-1.4545,2016,15/10,,
ANNAN,DUMF,54.9902,-3.2598,2002,10/1,318,9.02
Anstruth,Fife,56.223,-2.7005,2013,30/10,,7.22
ASHF'D,KENT,51.1465,0.875,2002,10/1,311,10.51
Attlebro,Norfk,52.5181,1.0155,2006,10/1,,6.68
Attlebro,Norfk,52.5181,1.0155,2008,10/1,,12.6
Attlebro,Norfk,52.5181,1.0155,2012,10/1,282,9.29
Auchnagatt,Aberdn,57.466,-2.117,2014,28/9,338,10.1
Auchnagatt,Aberdn,57.466,-2.117,2015,24/9,361,9.91
Auchnagatt,Aberdn,57.466,-2.117,2016,29/9,,
Balgonie,Fife,56.1843,-3.1244,2012,10/1,346,6.82
Balgonie,Fife,56.1843,-3.1244,2013,15/10,318,8.42
Balgonie,Fife,56.1843,-3.1244,2015,27/9,344,11.12
Balgonie,Fife,56.1843,-3.1244,2016,27/11,,
Balgonie,Fife,56.1843,-3.1244,2017,10/1,,
Bannister,Essex,51.8599,0.4633,2010,10/9,,8.68
Barnston,Essex,51.8533,0.3865,2004,10/1,322,7.87
Barnston,Essex,51.8533,0.3865,2005,10/1,282,12.55
Barnston,Essex,51.8533,0.3865,2007,10/1,,10.7
Barnston,Essex,51.8533,0.3865,2015,10/10,287,9.73
Barthorpe,North Yorkshire,54.0264,-0.8172,2005,10/1,320,10.34
Barthorpe,NYorks,54.0264,-0.8172,2011,27/9,,9.78
Barthorpe,NYorks,54.0264,-0.8172,2012,10/1,321,9.81
Barthorpe,NYorks,54.0264,-0.8172,2014,10/1,308,11.51
Barthorpe,NYorks,54.0264,-0.8172,2015,27/9,,11.44
Baumber,Lincolnshire,53.2523,-0.1713,2005,10/1,,8.3
Baumber,Lincs,53.2523,-0.1713,2006,10/1,,9.51
Baumber,Lincs,53.2523,-0.1713,2008,21/10,,11.95
Baumber,Lincs,53.2523,-0.1713,2009,21/10,,6.53
Baumber,Lincs,53.2523,-0.1713,2017,27/10,,
Beausale,Warwick,52.3342,-1.6477,2007,10/1,,9.25
Beausale,Warwick,52.3342,-1.6477,2008,13/10,,9.54
